,pro,con
0,smart people,any
1,interesting projects,working
2,big company,hours lack
3,good salary hahah,sleep
4,technique growth,no good pm
5,young man,bad business decision
6,flexibility,stock value
7,mentors,50
8,great team,
9,great benefits,chinese food
10,practice,daliy
11,good place,time
12,,lack
13,benefit,diversity
14,smart team members,the teams
15,large teams,politics
16,idl,people
17,the best place,little mess
18,china,small city
19,you,pressure
20,deep learning,baidu
21,time,big project
22,yu kai,there
23,the director,culture
24,some colleagues,andrew ng
25,yuanqing lin,the current environment
26,the,political connections
27,baidu,the management
28,the origin idl,the delivery
29,several groups,most people
30,very good company,the outcome
31,good organization,the quality
32,great environment,low tier
33,people,current managers
34,there,the technical aspects
35,nice environment,they
36,engineer,any other related term
37,compensation,the executives
38,confidence,china
39,the management,zero evaluation mechanism
40,lot,them
41,work life balance,the progress
42,most people,much
43,much time,communication
44,the office,chinese employers
45,food,minimal effort
46,someone,speaker
47,chinese cuisine,the topic
48,the work environment,interest
49,pay,everyone
50,the culture,advantage
51,the research,the situation
52,baidu usa,chinese meetings
53,edge ones,the managers
54,the entire world,others
55,the teams,most
56,the opinions,engineering
57,researchers,approach
58,the colleagues,the us
59,lots,negative bias
60,opportunities,employers
61,salaries,the
62,good bonus,us
63,extra benefits,strict biases
64,deserts,each other
65,communication fee,this
66,taxi fee,clustering
67,etc,management
68,good platform,most researchers
69,graduate,zero willingness
70,the industry,risks
71,large scale,the style
72,data,the research projects
73,various kind,paper
74,distributed systems,google
75,good environment,it
76,work,senior researchers
77,great work place,tape
78,colleagues,severe office politics
79,company culture,some departments
80,talented people,work life balance
81,structure,too much time
82,flat,working flow
83,employees,long hours
84,nice facilities,high pressure
85,canteen,many meetings
86,stores,enough work time
87,gym,coding
88,the working experience,too push
89,passion,sometimes too
90,many things,much pressure
91,competitive salary,very competitive
92,life work balance,hard
93,not too,company
94,everything,sometimes it
95,good benefit,strategy analysis
96,friendly environment,senior management
97,really good,the strategies
98,nice benefits,different department
99,culture,different atmosphere
100,good company culture,the culture
101,excellent engineer culture,team
102,atmosphere,workload
103,great technical company,little
104,great engineers,many activities
105,great name,hard working
106,asia,trafic
107,same level,commute
108,benfits,no cons
109,the latest technologies,me
110,big problem,remote office
111,china massive users,headquarter
112,great,housing price
113,things,the city
114,reasonable,some people
115,benefits,unqualified
116,,part
117,,the ppt engineer
118,,good product manager
119,,pros
120,,no reason
121,,this company
122,,hq folks
123,,corruption
124,,beijing
125,,no solid company culture
126,,wolf culture
127,,china base
128,,many senior management
129,,executives
130,,vision
131,,not respect employee
132,,too much
133,,even insult
134,,employee
135,,meeting
136,,not too much private communication
137,,colleagues
138,,all the time
