,pro,con
0,one word,this
1,great culture,the year
2,lots,decision
3,work flexibility,needs
4,good benefits,company
5,nice people,that
6,big company,you
7,great comp,
8,benefits,the business model
9,fair pay,the luxury
10,great global team,time
11,employee benefit,things
12,great culture code,mandatory
13,technology company,period
14,the broadest portfolio,work
15,the industry,no cons
16,the brightest,me
17,elite engineers,the moment
18,people works,some procedures
19,great leadership,no major downsides
20,,they
21,high volume team,pay
22,great technolgy,sometimes
23,extensive portfolio,public company
24,many resources,quarterly financial reports
25,competitive pay,unused vacation
26,flexible hours,state
27,competitive salary,it
28,good 401k match,commission
29,etc,the business
30,there,leaders
31,great company,zero respect
32,pats,locker room mentality
33,great benefits,leadership
34,amazing culture,promotions
35,good autonomy,last minute
36,the,disparate financial systems
37,me,acquisition
38,the best,major
39,excellent flexibility,positions
40,terms,huge company
41,work schedule,big difference
42,awesome work,enterprise
43,environment,lower tier markets
44,dynamic place,there
45,income potential,large company
46,great,the fair
47,market,territory segmentation
48,remote,hardware
49,home,hiccup
50,dell,the supply chain
51,compensation,delays
52,personal,months
53,professional growth,deal
54,you,office automation
55,mind,example
56,leaders,many accounts
57,track,lot
58,here,short time
59,big bonus,big company
60,this company,huge portfolio
61,leading,soley
62,every area,low growth hardware business
63,they,debt
64,within,times
65,great pay,clear picture
66,great company mission,people
67,leading player,assignment
68,it,no notice
69,infrastructure,many software projects
70,dcse,all huge companies
71,east china,politics
72,storage team,the way
73,great people,processes
74,great processes,good
75,great products,course
76,the storage products,meetings
77,brand,what
78,opportunities,sales
79,career development,no real skills
80,employee engagement,promotion
81,huge portfolio,merit
82,ability,approval
83,good,senior mgmt
84,atmosphere,system
85,good comradery,career growth
86,lot,years
87,things,culture
88,culture,the company
89,improvement,internal movement policies
90,business,role
91,the right way,requirements
92,product marketing,performance
93,the sales side,everything
94,the entrepreneurial mentality,so career
95,us,advancement
96,the company,consequence
97,the product marketing side,those
98,new technology work,better
99,reasonable hours,the conpany
100,work life balance,compensation
101,great place,legacy tools
102,career,job security
103,loads,better product
104,ownership,management direction
105,them,lots
106,good company,cooks
107,flexible schedule,the kitchen
108,career opportunities,bit
109,good work life balance,disruptive technologies
110,good work culture,sell technology
111,exciting new technologies,cloud solutions
112,resources,promised
113,ibm,stagnant movement
114,work,smaller teams
115,remote work,nothing
116,anyone,directors
117,decent pay,experience
118,friendly colleagues,weak leadership skills
119,the most part,relationships
120,good director,lack
121,great experience,collaboration
122,many opportunities,reliable data
123,upward mobility,data
124,training,entry type projects
125,industry leader,then
126,decent compensation,better projects
127,remote working,new workers
128,insurance,prior experience
129,great 401k match,experienced marketers
130,flexibility,the petty politics
131,diversity,constant disorganization
132,rewards,location
133,remote work options,the sales org
134,company culture,toxic management
135,great learning,limited leadership
136,felxible work schedule,organizational skills
137,weeks,career advancement
138,time,cronyism
139,additional sick leave,not merits
140,home options,environment
141,great insurance rates,insurance
142,tons,security
143,programs,bonus structure
144,advantage,the top
145,very good,no rsus
146,worklife,dell
147,balance,heart
148,401k,commodity hardware seller
149,super smart people,as such
150,ideas,the cutting edge
151,the local team,technology
152,joy,current
153,senior developers,the effort
154,new technologies,salaries
155,decent salary smart colleagues,the market
156,growth,tuition reimbursement benefits
157,pay,less
158,work life balance career,other companies
159,growth opportunities,team spirit
160,something,horrible culture
161,high turnover,changes
162,nobody,often
163,very good culture,jobs
164,coworkers,roles
165,all work,sets
166,team,change
167,the skills,constant change training
168,onboarding experience,the best
169,the sales goals,quota growth numbers
170,this job,the pay
171,great work,other large companies
172,life balance,microsoft
173,employees,none
174,hours,inhouse training
175,large company,the outside
176,irons,friends
177,the fire,an extrovert
178,positive work environment,travel deep reporting
179,work culture,structure
180,good culture,management
181,fun perks,contractor
182,free food,month
183,vendors,the
184,stuff,full
185,these teams,lies
186,huge deals,older workforce
187,the highest,most tech companies
188,the pleasure,large organization
189,competive vendors,patience
190,dominant market share,internal people network
191,integrated solution sets,ooh
192,the teams,an awful slice
193,range,dated corporate hell
194,deep experience,this place
195,the intern program,university hire
196,one,the sales department
197,the good companies,no positions
198,challenging work,us
199,business partners,signing bonus
200,global firm,cold calls
201,impact,40 hours
202,the most influence,week
203,direction,no chance
204,the building,the swat
205,he,sales people
206,many companies,the university program
207,this size,the same treatment
208,large range,no benefits
209,latest technologies,one guy
210,opportunity,10 months
211,advancement,this rate
212,great training opportunities,him
213,continuous learning,permanent employee
214,emc,no end
215,documentum,sight
216,the best places,word
217,the brightest minds,race
218,people,sexual orientation
219,family,age
220,plenty,general
221,downtime,qualifications
222,freedom,favor
223,remote work option,the piggish
224,smart people,the bonus structure
225,flexible work hours,google
226,several large companies,dell fraud
227,advertising agencies,tax laws
228,doubt,numbers
229,the best company,ten quarters
230,the people,complete
231,ways,absolute fiction
232,everyone,place
233,not every day,the only people
234,roses,the ones
235,company,anywhere else
236,innovation,everyone
237,the same goals,likely
238,most,promise
239,this,benefits
240,huge impact,them
241,excellent,good place
242,health,anyone
243,wellness benefits,any actual earning potential
244,volunteer opportunities,several hiring managers
245,vacation,good thing
246,week,mark
247,personal days,the tech world
248,the org,reputation
249,large organization,position
250,financial leverage,decent
251,potential,this job
252,getters,constant crisis mode
253,sales,shrinking teams
254,employee benefits,job tasks
255,very talented,plus
256,individuals,team career guidance
257,supervisors,constant emergencies
258,much work,massive
259,quality,this company
260,morality,not
261,flexible work environments,cons
262,the ability,anything
263,many cases,the process
264,politics,itself
265,minimum,he
266,some,improvement changes
267,elsewhere,not con
268,hard work,even less
269,involvement,the right people
270,blood drives,etc
271,campus,popularity contest
272,bank,woman
273,company name,every 10 men
274,only pro,the help
275,complete solutions,hr
276,customer requirements,retaliation
277,major manufacturing clients,all the time
278,everett,big company mentality
279,wide variety,incremental innovations
280,problems,higher positions
281,computer support,another cog
282,the same job,the system
283,every day,presales engineering
284,many many different areas,presales engineers
285,complete,long term
286,all products,night shift
287,the office,profile
288,decent,multiple account changes
289,salary,visibility
290,bonus,company decisions
291,good work,no real solid stable roadmap
292,home policy,plan
293,the culture,burnout
294,none,toxic culture
295,investment,strategy
296,employee resource groups,dime
297,dell okc,large corporation
298,community,the internal organizations
299,nice benefits,salary
300,good people,late hours
301,flexible work benefits,love
302,good salary,more mentoring
303,relation,different things
304,other industries,seniority
305,locations,quality
306,ireland,layoffs
307,stable work,direction
308,some areas,competitive environment
309,the work environment,budget focus
310,the vista station office,others
311,layoffs,the largeness
312,everything,front
313,many complaints,other areas
314,peers,every quarter
315,edge technology,infrastructure
316,goodofffic hardware,no idea
