,pro,con
0,,tech
1,hp,moves
2,17 years,fast
3,11 different jobs,hp inc
4,lot,
5,this,title deflation
6,place,many people
7,people,the work
8,customers,one level
9,it,business units
10,broader mission,there
11,the world,company
12,diversity,limited career
13,environmental responsibility,path
14,many other areas,short term
15,culture,gen
16,the political people,ers
17,international,the top heavy boomers
18,substantial international exposure opportunities,huge vacuum
19,employee development,talent
20,employees,committee
21,stanford program,occasional downside
22,pay,culture
23,decent salary,decisions
24,high side,late cycle
25,silicon valley,print
26,stock units,the money maker
27,higher valley,it
28,career path opportunity,secular decline
29,big opportunity,printing
30,ranks,pcs
31,heavy generational weighting,margin pov
32,boomers,time
33,huge gap,growth company
34,gen,direction
35,ers,the top
36,the company,print business
37,the boomers,that
38,they,major impact
39,management team,company performance
40,the calm,not yet
41,intelligent,hp
42,the executives,promotions
43,the jerks,the transition
44,great,technician
45,work,engineer
46,life balance,everyone
47,bene,bachelors degree
48,the people,hp right
49,collaborative,college
50,team,engineers
51,welcoming,more power
52,good benefits,the workplace
53,good people,mature
54,fantastic place,asd
55,career,career
56,few jobs,plan
57,competitive pay,the employees
58,this company,100
59,care,emails
60,them,every day
61,the outreach,lack loyalty
62,community events,sense
63,me,no matter
64,the work,you
65,just the output,speed
66,flexible,execution
67,innovation,matrix organization
68,nice,low pay
69,environment,clear direction
70,great culture,they
71,wonderfully brilliant people,constant restructuring top
72,you,management
73,colleagues,little empowerment
74,drive,individual contributors
75,passion,pay
76,ethics,industry standard
77,good life,best days
78,balance,jobs
79,easy,demand
80,management,reorganization
81,career development paths,future opportunities
82,competitive salaries,latest technologies
83,great people,commissions
84,smart,circus
85,kind,no phone numbers
86,career opportunities,hr
87,change,any issues
88,an individual,all email
89,work culture,an email
90,nice team,24 hours
91,starbucks coffee,nothing
92,good location,particular
93,networking opportunites,everything
94,one,fine
95,everything,project scope
96,the moment,the market
97,complete disarray,financials
98,layoffs,products
99,early retirement,lack
100,no focus,strategy
101,good work life balance,senior management
102,the problems,shareholder
103,on,short term decisions
104,the good,not family
105,stability,managers
106,benefits,technology company
107,dynamic work,all the tools
108,insurance benefits,care
109,company vehicle,employees
110,phone,large company
111,laptop,complex processes
112,love,dime
113,all the teams,any fortune 1000
114,the years,times
115,the tech industry,internal politics
116,college,expensive insurance
117,respect,constant
118,interesting people,massive
119,diverse culture,layoffs
