,pro,con
0,company,lots
1,it,employees
2,employees,many layers
3,diversity,instability
4,women,career planning
5,tech,nice change
6,product design,lots
7,management,meetings
8,voice,time
9,customers,employee friendly environment
10,care,other companies
11,the overall success,less layoffs
12,pay,yearly bonus
13,opportunities,the benefits
14,ibm,industry standards
15,employees,there
16,ibm,no opportunities
17,leader,advancement
18,many technology corridors,the infinite resources
19,remote working,client work
20,home,it
21,low salary as,you
22,other companies,project
23,you,weeks
24,all the training,time
25,work life balance,you
26,it,longterm project
27,,you
28,unlimited opportunities,monotonous tasks
29,training,no room
30,flexibility,non data
31,variety,science
32,projects,work
33,travel,that
34,nice,relocation
35,food,advance
36,colleagues,old lotus notes
37,,internal politics
38,fun,poor bonus structure
39,great benefits,promotion policy
40,overtime,some
41,work,the
42,home,you
43,times,big
44,good benefits,private company
45,good salary,terms
46,great people,perks
47,the company,those
48,great company,breakers
49,there,lot
50,lot,changes
51,opportunities,company
52,new skills,track
53,there,any
54,plenty,everything
55,internal positions,middle leadership layer
56,you,salaries
57,professional,other big tech companies
58,you,company
59,you,talent
60,you,security
61,question someone,job
62,the answer,limited growth
63,many benefits,advancement
64,an employee,software development business
65,good technology acuman,high salaries
66,organization,part
67,leadership,benefits
68,great co workers,company
69,employment,small
70,competitive salary,limited promotions
71,benefits,small bonuses
72,professional team,slow growth
73,,boredom
74,the most part,some more food
75,macbook pro laptops,options
76,great manager,some
77,good people,more free snaks
78,group,
79,good,any cons
80,401k,this time
81,internal resources,nothing
82,learning,
83,comraderie,healthcare benefits
84,benefit,frequent layoffs
85,culture,constant cadence
86,culture,unreasonable quota
87,employer,it
88,,challenge
89,good,one
90,network,lot
91,flexibility,travel
92,friendly,consulting assignments
93,mission,ibm
94,watson health,strong pr leader
95,you,
96,remote,
97,work flexibility,
98,great historical relevance,chops
99,brand name,the case
100,iconic company,ibm research
101,inspirational mission,negativity
102,extremely ethical,managers
103,work options,favorites
104,good benefits,only
105,good training opportunities,compelling work
106,interesting work,people
107,people,me
108,people,few opportunities
109,great curriculum,new chances
110,teachings,
111,program,oh
112,the summit program,lots
113,high flexibility,red tape
114,lots,minimal
115,movement possibilities,no
116,tech resources,business unstable
117,great 1st line mgr,many execs
118,everything,decision making
119,flexible,lots
120,great work life balance,processes
121,transformational company,slow coworkers
122,support,large organization
123,autonomy,other business units
124,edge,you
125,lot,competing
126,technologies,clients
127,solid,other internal teams
128,competitive salary,bureaucracy
