,pro,con
0,great pay,flexible work hours
1,benefits,role
2,executive leadership,there
3,new grad,limits
4,,park
5,work,different building
6,home days,walk
7,an unlimited vacation policy,site
8,such,congested office spaces
9,competitive benefits package,morrisville
10,it,office ambience
11,super flexible culture,improvements
12,leadership,some
13,amazing talent,the cons
14,probably the best,ibm
15,the project,these
16,the best,some inefficient structure
17,breed technology,some software
18,there,some areas
19,everyday,lenovo
20,highly,some attempts
21,part,this
22,complex projects,lot
23,incubation,corporate politics
24,production,some groups
25,fortune,
26,100 customers,the managers
27,matter,the category
28,months,they
29,these,managing people
30,years,an issue
31,the previous company,some teams
32,management,china
33,the talk,the time differences
34,innovation,high turnover
35,the benefits,corporate wide layoff
36,medical,contractors
37,dental,access
38,vision,all
39,401k,the perks
40,lenovo,the employees
41,good number,the datacenter group
42,paid holidays,dcg
43,some,an entrepreneurial stage
44,the contractors,the strategy
45,gym,execution
46,the campus,leadership
47,contractors,evening calls
48,the gym,then reorg
49,the nurse,upper management
50,the company,everything
51,free flu shots,the us
52,the employees,the bottom line
53,many teams,quality
54,employees,it
55,lenovo thinkpad,the company
56,the profit,managers
57,bonuses,outside
58,the contests,none
59,spiffs,promotions
60,gifts,you
61,the sales,trust
62,teams,the relationships
63,one year lease,star performer
64,cars,high liklihood
65,the past,the ownership
66,they,work
67,an employee purchase discount,responsibility
68,both,communication
69,the lenovo pcs,times
70,moto phones,not many
71,many community events,con
72,habitat,this company
73,humanity,usual con
74,etc,large company
75,ten years,sellers
76,free lunches,we
77,thanksgiving,the last
78,you,extension
79,unlimited vacation,special pricing
80,manager approval,email
81,the right people,those special pricing
82,good team,central location
83,good manager,one
84,this,everyone
85,great place,anytime
86,people,emails
87,real thing,not lot
88,onsite gym,cons
89,medical services,just long hours
90,human resource groups,global environment
91,diversity,not
92,quality products,respect
93,genuine culture,flexibility
94,integrity,own
95,desire,large age gap
96,the world,generations
97,no day,the change
98,the same,better collaboration
99,decade,complicated flow
100,me,information
101,countless ways,any cons
102,flex hours,confusing understanding everything
103,good benefit,the
104,work environment,job security
105,the people,risk
106,the santa clara office,targets
107,great work life balance,those
108,great people,open office layout
109,great first job,career
110,collaboration,growth
111,the group,changes
112,everyone,moving
113,ego,fan
114,environment,open offices
115,culture,the only downside
116,workplace flexibility,the organization
117,strong focus,everyone easy access
118,the workplace,the leadership teams
119,feedback,nobody
120,adjustments,an open floor
121,amazing,nice pair
122,the work culture,commute to office
123,last,no work life balance
124,industry,the different businesses
125,products,motorola
126,great benefits,vs
127,diverse employee group,pc
128,promotion,data
129,within,server
130,room,cafeteria
131,advancement,stress
132,very fun,any sales position
133,energy,bit
134,events,disorganized company
135,social gatherings,better processes
136,nice option,departments
137,the days,better
138,few years,things
139,few,big challenge
140,the year,nc
141,ski trip,east
142,family,central
143,child,western
144,we,motor
145,strong bond,southern
146,each other,la
147,growing,orange county areas
148,the tech industry,it systems
149,change,improvement
150,adaptability,the pay
151,tons,some roles
152,passion,contractor
153,the organizations mission,american
154,all,some team
155,compensation plans,more collaboration
156,company objectives,lack
157,less silo,leadership strategy
158,fortune company,changes organizations
159,autonomy,silos
160,decisions,me
161,customer centric,financial pain
162,relentless focus,month
163,the customer experience,ideal collaboration
164,great culture,china hq
165,the work atmosphere,the clock work schedule
166,sense,work life balance issues
167,the ability,poor management
168,the career,executive assistants
169,the work life balance,constant turnover
170,collaborative,little
171,awesome workplace amenities,any loyalty
172,vacation days,senority
173,lot,incompetent leadership
174,freedom,nowhere
175,tasks,the workstation business
176,general,one such leader
177,unlimited holidays,sales conference
178,majority,him
179,option,clearly he
180,home,sales
181,while,people
182,good mood,anger management issues
183,help,whiteboard marker
184,respect,an employee
185,the ins,he
186,the business,this person
187,transformation,management
188,the way lenovo,former top hp guy
189,the traditional ibm days,year
190,focus,hp
191,smart devices,revenge
192,ecosystems,the chosen few
193,solutions,the place
194,customers,resources
195,those,the leadership
196,innovations,them
197,the status quo,most
198,that,cheap
199,way,workstation
200,life,desktops
201,job,the channel
202,great health benefits,attempts
203,competitive pay,fake market share
204,nice facilities,these desktop computers
205,onsite health clinic,workstations
206,company,competitors
207,great compensation,the act
208,smart people,idc
209,size,dell
210,opportunity,here
211,diverse culture,price
212,great leadership,flame
213,maternity leave unlimited vacation,only one way
214,collaborative spaces,business
215,flexibility,look
216,good people,16 hrs
217,wonderful managers,day
218,good benefits,layoffs
219,nice environment,layoffs layoffs
220,lots,that
221,learning,the regular reorgs
222,fit,years
223,purpose solutions,one day
224,market,half
225,the market,cut
226,forged credibility,new job
227,hardware solutions,new manager
228,brand recognition,no say
229,fun,edge
230,all ideas,team morale
231,success,kind
232,team effort,pressure
233,elbows,limited time
234,the trenches,small office
235,progress,leadership changes
236,brilliant,downward trend industry
237,good work environment,great experience
238,great leaders,sometimes workload
239,the culture,the office
240,sales team,another country
241,pc business,citizen
242,great work,the opportunity
243,life balance,an l1 visa program
244,unlimited vacation days,long term
245,very diversified,the rest
246,good base,once
247,pay potential,the process
248,bonus unlimited pto,naturalization
249,no pros,the immigration process
250,the way,this opportunity
251,the door,turn
252,strong benefits,the worse
253,401k match,six months
254,swag,another mass round
255,decent benefits,myself
256,decent pay,now
257,net,an l1 visa
258,lower,no other company
259,60 hr,months
260,workweeks,no assistance
261,good salary,many
262,career advancement,the same situation
263,manager,us
264,the time,no options
265,facilities,little money
266,good college,all the while lenovo
267,long maternity leave,goodbye
268,great work enviorment,leadership change
269,the office,the next
270,balance,any
271,friendly envrionment,yet
272,toxic environment,dcg executives
273,nice company,former ibm x86 server
274,decent health benefits,financials
275,good,rosy picture
276,advantage,top executive changes
277,nothing,every yrs
278,biz,revenues
279,the only,pcon
280,friendly work environment,acceptable pace
281,good morale,sales quotas
282,solid hardware,the end
283,platforms,the quarter
284,edge benefits,mgt
285,the job training,good idea
286,this toxic environment,most deals
287,the same boat,sales teams
288,good location,revenue objectives
289,acceptable salary,current sales
290,flexible working time,compensation plan
291,friendly,forces sales reps
292,great management team,commission
293,individuals,the beginning
294,good things,the fiscal year
295,work life balance,50
296,normal,quota target
297,great pc team,good sales people
298,high performance products,morale
299,supervision,pcg business
300,micromanagement,job
301,good job,pcg
302,most,potential success
303,trust,no clear communication
304,something,direction
305,new,employees
306,the value,the dark
307,good coworkers,incapable vp
308,decent,level management
309,great,what
310,commitments,the last decade
311,good vision,monolithic organizations
312,road maps,leverage
313,good package,proof
314,much work,classroom training
315,free time,all the solutions
316,very collaborative,money
317,many,another year
318,opportunities,employment
319,skills,life balance
320,potential,daily evening calls
321,legacy,open workspace
322,technology,horrible hours
323,interesting,the people
324,cons,charge
325,the pros,the mobile phone division
326,no need,no idea
327,anything,the world
328,great working atmosphere,fortune
329,great technology,500 big shot company
330,kiss,reality
331,supportive team,joke
332,great manager,the turnover
333,awesome,book
334,friendly team,combat
335,interesting work,mundane periods
336,good culture,much punctuated bye moments
337,great products,sheer terror
338,awesome growth,bunch
339,one,much this place
340,the leaders,nutshell
341,laptop design,all the layoffs
342,condition,seven
343,line,some point
344,colleagues,the same mistakes
345,professional,first
346,no limit,the products
347,unlimited pto,garbage
348,competitive salary,the treatment
349,big company,anything
350,the industry,no free snacks
351,innovative products,lunch
352,super employee support,discounts
353,pathways,laptops
354,promotions,compensation
355,hq,stability issue
356,many things,position
357,company views,no much
358,market disruptor,uplifting opportunity
359,strategic cost,collaboration
360,advantages,every effort
361,strategy,drama
362,growth opportunity,sometimes bad job
363,working,butother times
364,consumer market things,culture
365,multinational company,alliances
366,flexible,the tv show survivor
367,team culture,trend
368,chinese company,the software engineering
369,good work,development
370,less products,costs
371,the pay,the morrisville site
372,average,an open workspace
373,the area,good thing
374,the bonus structure,new talent
375,most other companies,more people
376,great 401k matching plan,each building
377,great company,cost reduction measure
378,talented people,every new person
379,none,product interests
380,list,every
381,the availability,the most recent
382,love,only working
383,them,few months
384,great experiences,really
385,great collaboration,the management
386,peers,several people
387,excellent,serious
388,great opportunity,continuity
389,edge technology,constant layoffs
390,cool pc products,yearly basis
391,nice benefits,frequent reorganizations
392,professional atmosphere,business units
393,good salry,way
394,best,experienced workers
395,place,other countries
396,teamwork,cheaper labor
397,flexible hours,no
398,ability,the ever
399,projects,workloads
400,broad opportunities,unrealistic goals
401,improving customer focus,the executives
402,travel opportunities,numerous
403,typical 401k matching,project schedules
404,week vacations,surveys
405,affordable health coverage,total waste
406,company numbers,time
407,good pay,the cafeteria food
408,some technology,too much
409,advancements,not good company
410,some partners,the cubicles
411,responsibility,an open layout
412,competitive benefits,second ra
413,great bonus potential,quotas
414,amazing things,transparency
415,consistent,each other lots
416,compensation,politics
417,some bosses,some managers
418,excellent employees,each other
419,very good management,projects
420,data center,the same division
421,hard workers,other divisions
422,the products,passive aggressive culture
423,friendly hardworking,exec director
424,clean work enviroment,the trick
425,atmosphere,all the good people
426,super employee support systems,top
427,training,bureaucrats
428,other departments,no mistake
429,new ideas,collaborator
430,very friendly,hours
431,good sense,fuzzy leadership
432,camaraderie,real decisions
433,pay,slow
434,merit increases,frequent leadership changes
435,joke,vision
436,leaders,company culture
437,continued success,management skill level
438,earth,dual hq
439,wonderful people,senior mgt
440,expectations,beijing
441,hard work,poor job
442,long hours,good talent
443,test,career change
444,salary,only
445,supportive great team,long hours
446,tenure,weekend
447,wish,flexible hours
448,exceptional benefits,three time zones
449,health,strategy
450,wonderful room,internal processes
451,growth,decisions
452,good hardware,organization
453,product mix,the field
454,good place,some sales incentives
455,and,the rep
456,new technology,spiffs
457,flexible work hours,no cons
458,collaborative work environment,the job
459,us employees,within
460,raleigh company,historical mistakes
461,issues,acquisitions
462,racial diversity,hard environment
463,track record,both
464,wonderful,opportunities
465,site,building products
466,unique culture,marketing dollars
467,large company,equity
468,folks,consequence
469,failure,product
470,raleigh,lower prices
471,future growth,status
472,work schedule,company
473,great atmosphere,nothing moves
