,pro,con
0,good benefits,hierarchical culture
1,food,too good top
2,commute bus,decision making
3,hour,times
4,totur vista job,
5,technical team support,hours
6,hot,hierarchal
7,products,most decisions
8,top tier customers,so culture
9,market,the management
10,trend,huge difference
11,good,it
12,work,there
13,environment,many cons
14,lots,work
15,growth opportunities,best buy
16,you,samsung
17,the work,lot
18,consistent job,tasks
19,pay,hq korea
20,something,the sudden
21,networking,the work
22,the carrier,the lack
23,the amount,the project
24,each employee,none
25,addition,they
26,recognition,terrible third party company
27,there,not
28,improvement,much work life balance
29,job performance,time
30,ql,short
31,the,great benefits
32,jobs,life
33,competitive pay,balance
34,good scheduling,tough family life
35,great pay,the amount
36,good company,travel
37,good values,the job
38,cutting edge technology,lots
39,it,weekends
40,great benefits,pto
41,long working hours,months
42,culture,multiple blackouts
43,benefits,absolutely no work
44,people products,life balance
45,weekday flexibility,growth opportunity
46,the latest device,environment
47,good challenging work,incompetent management
48,great team,no stock
49,excellent pay,terrible outdated management style
50,personal growth,little
51,fun projects,no upward movement
52,stable,politics
53,good work environement,strong structure
54,great place,hierarchy
55,good salary,unnecessary jobs
56,,extremely hard workers
57,this job,few personal time
58,the samsung program,the partnership
59,best,program
60,stores,culture
61,people,executive management
62,troubleshooting problems,the worst company culture
63,wonderful management,you
64,them,the bone
65,brand awareness,no balance
66,technology,all
67,colleagues,any onboarding
68,great people,development
69,great work,nothing
70,they,the
71,store,the same time
72,an employee,toxic people
73,consumers,the masses
74,too bad,not just
75,employees,one
76,the pay,two
77,overtime,most
78,great perks,leaders
79,life balance,hr
80,samsung,everyone
81,international company,each other
82,wide perspective,anything
83,world,harrasment
84,fun job,code
85,new people,conduct violations
86,good cafeteria,serious discrimination
87,gym,women
88,nice view,brushes
89,job,some cases
90,responsibility,no urgency
91,new technologies,no concern
92,some,no action
93,the best people,micromanagement
94,great,all levels
95,campus,chicken
96,large,dont
97,resources,any pto
98,great great perks,then you
99,samsung products discount,hardworking
100,potential growing company,blame
101,business,korea
102,family environment,the reality
103,excellent modern facility innovative technology awesome benefits,cesspool
104,discounts,one place
105,travel,no accountability
106,events,managment
107,most,any support
108,the pm work,employees
109,business cases,basic needs
110,compensation,supervisors
111,smart,associates
112,good place,volunteer
113,ton,extra duties
114,celebrities,days
115,fun activities,12 hours
116,free lunch,day
117,good pay,safety
118,good benefit,unsafe tasks
119,good health insurance,more tech
120,interesting work,side policies
121,cool building,no set schedule lots
122,flexibility,driving
123,very good benefit,no stocks
124,medical,the biggest disadvantage
125,cafe,human resource leadership
126,the coworkers,discrimination
127,team culture,chance
128,kind,those
129,family,top managers
130,great company,too much
131,both patent,pressure
132,great learning experience,short deadlines
133,company,the work culture
134,sensitivity,the mark
135,goods lots,limited
136,opportunities,mobility
137,great overall compensation,move
138,package,experience
139,excellent benefits,team
140,home,very poor
141,great community,poor poor management
142,great communication,both korea
143,hard,us
144,great brand,great place
145,customers,no cons
146,good opportunity,engineers
147,results,anyone
148,workers,else technician advice
149,good paying job,terrible parking arrangement
150,nice environment,slow pay increases
151,chances,pay
152,great brand value,them
153,great product lineup,no work
154,responsibilities,operational inefficiencies
155,good compensation,no job security
156,good people,top management
157,big company,location
158,brand name,work life balance
159,working,long time
160,great opportunity,korean hq
161,many relationships,changing project goal
162,peers,scope
163,salary bonus,split company culture
164,good salaries,very cold building
165,free snacks,no
166,benefit ti match,job
167,procedures,security
168,decent,we
169,that,look ahead
170,location,november
171,strong market position,everything
172,edge technology,october
173,aggressive marketing approach,no consistency
174,tool,third party
175,the mobile team,2020
176,dynamic,2018
177,fun,layoffs
178,the chance,june
179,new,2019
180,the groove,third party companies
181,things,january 2020
182,very good pay,commission
183,benefit,constant change
184,competitive wage,quarterly bonuses
185,the only good thing,opportunity
186,tech,some people
187,nothing else,one thing
188,great company cool perks,others
189,first hands,another
190,latest devices,leadership
191,one,failing program
192,the top brands,networking
193,top notch,korea team
194,freedom,the evenings
195,premier,meetings
196,brand,the office
197,work life balance,the ladder market
198,perks,response time
199,great plans,constant changes
200,the heads,most companies
201,paycheck,share
202,10 days,that great place
203,pto,great compensation management
204,the entire year,no motivation
205,no vacation time,no elevation
206,health benefits,firedrill
207,multitasking,reporting
208,authority,some
209,good experience,cultural
210,ownership,challenges
211,mechanical engineering,some bad managers
212,process improvement,the task
213,cost reduction,maintainance
214,process innovation,full eight hours
215,development,half
216,creative idea,the day
217,quick learner,the shop
218,engineering,the rest
219,mind,management
220,some exciting opportunities,korean employee
221,scratch,bad work culture
222,process,no latitude
223,combined success,changes
224,cafeteria,management management
225,bonuses,no clue
226,network,ground realities
227,infras,no career progression
228,leading company,no support
229,korea,only one
230,bonus incentives,full time employee
231,flexible schedules,store
232,lot,very big organization
233,exposure,less self authority
234,real,the company
235,salary benefits,no respect
236,very talented,individuals
237,team,appreciation
238,coworkers,focus
239,starbucks,projects
240,machine,hq
241,lobby,the silicon valley ways
242,clean atmosphere,no working
243,experience,home
244,value,trust
245,great salary,more
246,great teams,more time
247,policies,rural area
248,profitable company,hard work
249,the divisions,work life balance culture
250,technical areas,normal long hours
251,flexible,flavor
252,excellent,the month directives
253,sea only,growth
254,decent pay,opportunities
255,employee discounts,management lac
256,health plan,vision
257,vacation time,mentality
258,great coworkers,recognition
259,the first year,not value employees
260,another,bad
261,this,engineering
262,the case,communication
263,most other employees,flexibility
264,those,korean business practices
265,the main offices,us markets
266,the benefits,run business
267,great benefit,sometimes product launches
268,relatively new team,managers
269,experiment,micromanagement management
270,the company,that things
271,free food,skills
272,career development,much influence
273,easy work,korean dispatchers
274,friendly environment,workplace
275,nice temperature,headquarters
276,home benefits,korea controls
277,free lunches holidays,no advancement
278,very small,weak leadership
279,costly benefits,upper management
280,little time,salary
281,work remotely,very little
282,the best pro,too many people
283,money,the same nationality
284,tons,poor work life balance
285,hours,horrible management
286,good supervisor,friends
287,all the negativities,someone
288,global company,the track record
289,the latest tech meaningful work,the last 10 years
290,resonable salary,micro
291,employee,vacation
292,scholarship,22nd
293,dependents,summer time
294,bonus salaries,every saturday
295,corporate company,major holidays
296,food co workers,feeling
297,each other,results
298,the garbage,field teams
299,hq,resulting
300,super hectic,loss
301,many times,postions
302,weekends,sales strategy
303,too,compensation plans
304,this great co,executive leadership
305,all,rotating door
306,global business practice,korean leadership
307,salary,an influential role
308,medical benefit,sales cycle
309,excellent projects,promises
310,fun environment,risk
311,great leadership,no faith
312,good food,current leadership
313,good atmosphere,overall morale
314,high salaries,the sales team
315,excellent selection,constant resignations
316,the cafeteria,sales
317,indian,competitors
318,great healthcare benefits,no growth
319,the people,office politics
320,intelligent,not every district
321,edge technology innovation opportunities,this
322,smart youngsters,six days
323,international environment,week
