,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Nice Company""",I have been working at Alibaba Group full-time,Nice culture. Super interesting work.,The competitiveness of Chinese IT is intense.,,,,,
1,"""About the works in Alibaba""",I worked at Alibaba Group full-time for more than 5 years,Close to business. Have chances to try many technologies.,"Chaos, some people with academic background and with very little industrial experience lead tech orgs.",3.0,2.0,4.0,4.0,3.0
2,"""Difficult satellite office experience""",I have been working at Alibaba Group full-time for more than a year,"Decent pay and great benefits, good coworkers","Cultural differences, difficult to own anything due to headquarters overseas, calls at odd hours",,,,,
3,"""this place is a joke""",I worked at Alibaba Group full-time for more than a year,nice office in chelsea,"clearly hired completely clueless management 
dumpster fire CRM 
please take some management courses or use executive training",1.0,1.0,1.0,1.0,1.0
4,"""Good company to work with""",I worked at Alibaba Group full-time for less than a year,"Open culture, good wlb, good pay",Too much force and back in cross departments,5.0,5.0,5.0,5.0,5.0
5,"""alibaba group""",I worked at Alibaba Group full-time for less than a year,Massive Amount of data and resource,pace is too intensive and the workload is high.,3.0,4.0,4.0,4.0,5.0
6,"""Big company can learn a lot""",I have been working at Alibaba Group full-time for more than 3 years,so many talented people can be learned from a lot,Too much work pressure,1.0,2.0,4.0,3.0,3.0
7,"""Heavy workflow""",I have been working at Alibaba Group full-time for more than a year,Still a big name company people know about,"Lots of work.
Work at night to communicate with HQ",1.0,1.0,1.0,1.0,1.0
8,"""Software developer""",I worked at Alibaba Group full-time for more than 3 years,one of the best environment to work,I think no cons can be given ton such a good industries,5.0,5.0,3.0,5.0,4.0
9,"""All good. Having a nice time""",I have been working at Alibaba Group full-time for more than a year,"Great working environment , Good mentors.","Lots of work , responsibility and time to devote.",4.0,4.0,4.0,4.0,5.0
10,"""associate""",I have been working at Alibaba Group ,fast growing platform with profitability,large org and maybe politics,,,,,
11,"""Good and Bad""",I have been working at Alibaba Group full-time for more than a year,The company is big on innovation and is willing to try new things,Decisions are made in China headquarter by people who may not be familiar with the situation.  Organizational changes are too often.,,,,,
12,"""Fast paced, result-oriented""",I have been working at Alibaba Group full-time,Result-oriented.Have a relatively large space to explore,Too much change. There are no specifications and standards in many links,1.0,3.0,3.0,3.0,2.0
13,"""Great Company with huge potential""",I worked at Alibaba Group full-time for more than 3 years,Very dynamic environment. Lots of opportunity. Great peers to learn from.,Long working hours and fast pace.,3.0,5.0,5.0,5.0,4.0
14,"""typical Chinese company""",I have been working at Alibaba Group full-time,great company and grow so bloody fast,"not interesting, work from 9 am to 9 pm six days per week",,,,,
15,"""Senior Algorithm Engineer""",I have been working at Alibaba Group full-time,Professional organization and methodology. Alicloud is great,Tight schedule. Sometimes not enough time to refine details.,,,,,
16,"""Busy but lots of opportunities""",I worked at Alibaba Group full-time for more than a year,There are many good business and good products to work on.,Not every manager are nice.,,,,,
17,"""Don't Come Work Here""",I worked at Alibaba Group full-time for more than a year,Alibaba is a large multinational but is very Chinese focused. It is not ready to go global yet. The opportunity to work for a Chinese company taught me never to go work for a Chinese company again.,"There is open discrimination against women. Women are constantly harassed by men. Male managers try to find mates for women. There is no order. Everything is chaotic. People don't question decisions from management. It is a ""yes"" culture. 

Senior management does not speak English and does not understand how the world operates. They are Chinese centric and think China is the center of the universe.",1.0,1.0,1.0,5.0,1.0
18,"""Project manager""",I worked at Alibaba Group full-time for more than a year,It is great working with smart people,HR has too much power over your evaluation.,2.0,2.0,4.0,3.0,3.0
19,"""good company to work with""",I have been working at Alibaba Group full-time for less than a year,good salary good package good benefits,"stressful, overwork, on call during weekends",2.0,4.0,3.0,3.0,3.0
20,"""hard to say""",I worked at Alibaba Group full-time for more than 3 years,learn a lot  and great vision,"busy, no life. too much time no meeting",2.0,4.0,5.0,5.0,3.0
21,"""A good place to work""",I have been working at Alibaba Group part-time,"Friendly Environment, talented co-workers, good working hours.",no single cons in my mind,,,,,
22,"""good company""",I worked at Alibaba Group ,good company like your family,"a little bit push, and over pressure",,,,,
23,"""very good""",I have been working at Alibaba Group ,good costumer service and  good coworkers,Bad management and poor booses,5.0,3.0,4.0,3.0,1.0
