,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Great Company to work for""",I have been working at Apple full-time for more than a year,"Extremely good benefits from healthcare, PTO, and discounts. Very relaxed environment with clearly laid out expectations.",Nothing that sticks out vs other jobs I've had,5.0,5.0,5.0,5.0,5.0
1,"""great place to work""",I have been working at Apple part-time for more than 5 years,empowerment within employee ideas for new process,growth its not easy if you thinks its easy,4.0,5.0,4.0,5.0,3.0
2,"""Challenging, Rewarding,  but ZERO  work/life balance.   Most satisfying ,   most difficult and most  rewarding job ever.""",I have been working at Apple full-time for more than 10 years,"We work with geniuses - in every department,   We create innovative products that thrill our customers and create new product categories -  who else can say that?","ZERO   ZERO   ZERO   work/life balance.   Execs have been saying for YEARS that they understand and will make it better.  But in actuality,  it gets worse every year!  It is obviously top management LIP SERVICE because if they meant it,  they could fix it tomorrow.   They have hundreds of BILLIONS in the bank.   If they REALLY cared about employee work/life balance,  they could bring aboard the right number of folks to make that issue dissolve.   Sick of hearing the lies.   Just don't lie about wanting to fix it,  when they clearly DON'T care",1.0,3.0,3.0,3.0,3.0
3,"""Great Company, Awesome Engineering""",I worked at Apple full-time for more than 3 years,"very talented people who have a passion for product quality and customer satisfaction
top-notch engineering staff produces extraordinarily well designed and built devices
great corporate culture and significant on-going efforts to keep it that way
legit support for diversity, creativity, and internal mobility
disparate teams with  high degree of autonomy manage to stay synchronized and on track to produce high quality products","distributed teams with autonomy sometimes are misaligned and it's a challenge to get critical objectives met
growing portfolio of products and models is straining resources and makes prioritizing work a major challenge - any churn in strategic hardware plans is very disruptive
some products don't get the attention they need to ensure robust development and timely delivery - market opportunities lost",5.0,5.0,5.0,5.0,5.0
4,"""Bloated""",I have been working at Apple full-time for more than 10 years,"- Lots of sharp people
- Great products","- Some organizations are political to an extreme
- Lots of bloat
- Most managers are concerned about appearances vs. doing the right thing",1.0,3.0,2.0,2.0,2.0
5,"""Best retail position out there""",I worked at Apple part-time for more than 3 years,"Lots of support, big energetic company with a credo","Things change rapidly, it's hard to keep up with all the changes",4.0,4.0,3.0,4.0,4.0
6,"""Overall Experience""",I worked at Apple full-time for more than 5 years,Great company to work for.. You will need to roll up your sleeves regardless of what level you are at,"Due to the secretive nature of the company, at times it can be hard to navigate",4.0,5.0,5.0,3.0,4.0
7,"""Fun place to work""",I worked at Apple part-time,Worked with a bunch of amazing people!,Pay could be a lot better as well as available hours to work. Takes too long to reach full time at Apple.,3.0,5.0,4.0,3.0,5.0
8,"""A-1""",I have been working at Apple part-time for more than a year,There is nothing not to love,There is nothing to hate,5.0,5.0,5.0,5.0,5.0
9,"""College Advisor""",I worked at Apple part-time for more than a year,"The pro's of working at Apple are to be expected. Apple is a great company to work for and they take care of their employees. I worked in the college care program and they would work around our school schedules and they required us to work 20 hours a week. The pay is way more than the average college student receives from an hourly job. The company is flexible and they give out free things all the time. On numerous occasions, I would get a package from Apple and it would be a free gift and I would never realize I was getting it. Also, the discount is pretty awesome especially on their services.","The only downside of working at Apple is you are expected to perform. They offer ample opportunities for coaching and can help you along the way but if you are still struggling you will get ""let-go"". Apple takes care of their employees really well and you are expected to excel at your job.",3.0,5.0,5.0,5.0,5.0
