,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Great place to work""",I have been working at Baidu full-time for more than a year,Very nice and smart people. Free lunch and dinner. Interesting projects to work on.,Barely any. Really enjoy working here.,,,,,
1,"""what?""",I have been working at Baidu part-time,big company good salary hahah,long working hours lack of sleep,2.0,5.0,4.0,4.0,5.0
2,"""Technique oriented, but lack of strategies about real problems working on""",I worked at Baidu full-time for more than 3 years,Technique growth is good for young man,User-focused thoughts were not thorough,3.0,3.0,4.0,4.0,3.0
3,"""Duxiaoman""",I worked at Baidu full-time,"flexibility, mentors are good to fresh","no good PM, bad business decision",4.0,4.0,4.0,4.0,4.0
4,"""Once a nice place, not so sure now""",I have been working at Baidu full-time for more than a year,"Great team, great benefits, top-tier work",Stock value has fallen by 50% since I joined,3.0,4.0,4.0,5.0,2.0
5,"""good""",I worked at Baidu full-time for more than 3 years,Practice chinese a good place,Chinese food always have daliy,1.0,1.0,1.0,1.0,1.0
6,"""Baidu Financial Business Development for banks""",I worked at Baidu full-time for more than a year,"1，Big company
2，good staff benefit
3，good salary",Too many people too many 'Minds',4.0,3.0,4.0,5.0,4.0
7,"""Good place""",I worked at Baidu full-time,"co-workers are very capable, good place to learn","nothing to complain, time is flexible",,,,,
8,"""Great company""",I worked at Baidu part-time,"Smart team members, large teams",Lack of diversity in the teams,5.0,4.0,4.0,5.0,5.0
9,"""Researcher at Baidu IDL""",I worked at Baidu full-time,"By 2013-2015, IDL was like the best place in China where you can do deep learning. As time goes on, Yu Kai, the director, left, taking away some colleagues. Yuanqing Lin came, and then left. With the re-organization of Baidu. The origin IDL is now decomposed into several groups.","Politics, anyway this happens everywhere. People come people leave.",4.0,4.0,4.0,4.0,4.0
10,"""marketing""",I worked at Baidu full-time,"Very good company, good organization",a little mess in small city,,,,,
11,"""product manager""",I worked at Baidu ,"great environment, and people there",large working pressure at baidu,5.0,5.0,5.0,5.0,5.0
12,"""A giants want to transform""",I worked at Baidu full-time,Have a nice environment for engineer.,Can't do a big project.,3.0,4.0,4.0,4.0,5.0
13,"""Do not join unless you can tolerate the toxic culture""",I worked at Baidu full-time for more than a year,"Compensation and benefits are highly competitive. 

If you give confidence to the management, you can get a lot of flexibility.

Work life balance is okay, most people do not spend much time in the office.  

Food is very decent for someone who likes Chinese cuisine.","There is highly negative shift in culture after Andrew Ng's departure. The current environment promotes building political connections with the management rather than focusing on the delivery of objectively high quality work. Most people just compete to artificially pump up the outcome and value of their work to present to the management, although the quality is low tier. Current managers are clueless about the technical aspects and directions - they cannot even properly define what deep learning or any other related term is. Current managers have secured their positions with their personal connections with the executives in China and there is literally zero evaluation mechanism on them, so they are pretty relaxed and do not care about the progress in R&amp;D much.

Communication and exclusion problems have got very serious. Most non-Chinese employers feel very uncomfortable and eventually decide to leave. Chinese employers feel minimal effort to speaker English although the topic is of interest to everyone. They try to take advantage of the situation by having Chinese meetings with the managers and excluding others. Most engineering and product teams in China approach non-Chinese employers in the US with a negative bias, which can be hard to overcome.

Even employers in the US office have strict biases towards each other and this has caused clustering. They intentionally avoid helping people outside their clusters to hinder their success. 

Besides management, most researchers have pretty conservative mindset. They have zero willingness to take risks. The style of most of the research projects is reimplementing a paper by Google, and then slightly modifying it. There used to be very bright and senior researchers, but they have already left...",4.0,1.0,2.0,5.0,1.0
14,"""Operation specialist""",I worked at Baidu ,The work environment is very dynamic and fast-paced.  Pay is decent.,Red tape. Severe office politics in some departments,3.0,3.0,4.0,5.0,3.0
15,"""This is a place where your efforts will get recognized""",I have been working at Baidu full-time for less than a year,"1. The culture is young and competitive
2. The research and development in Baidu USA are both cutting edge ones across the entire world. 
3. The teams are moving fast, but the opinions from researchers and developers get respected.
4. The colleagues are talented and friendly",Work life balance may be better,4.0,5.0,5.0,5.0,5.0
16,"""Good place to boost and challenge yourself""",I have been working at Baidu full-time for more than a year,"1. Lots of opportunities.
2. Good salaries.
3. Good bonus and extra benefits(deserts, communication fee, taxi fee, etc. ).","1. Too much time spent on communication.
2. Complex working flow.",3.0,4.0,5.0,5.0,3.0
17,"""Good Company with fast-paced working environment""",I have been working at Baidu ,Good platform for graduate who wants to step into the industry,long hours and high pressure,4.0,4.0,5.0,5.0,5.0
18,"""senior software engineer""",I worked at Baidu full-time,"large scale of data, you can get touch to various kind of distributed systems","too many meetings, don't have enough work time for coding",3.0,4.0,4.0,4.0,4.0
19,"""Potential company""",I have been working at Baidu ,Good environment and people from work,Too push and sometimes too much pressure,3.0,3.0,3.0,3.0,4.0
20,"""Great company overall""",I worked at Baidu full-time,"Great work place, colleagues are very nice","Very competitive, hard to move up.",3.0,5.0,4.0,4.0,4.0
21,"""Software Engineer T3""",I worked at Baidu full-time,"Company culture is young and open, and very cultivating",Company and team strategies are sometimes less clear.,5.0,5.0,5.0,5.0,3.0
22,"""Review of Software engineering at Baidu""",I worked at Baidu ,Great team with talented people who work really hard.,Work life balance is not very good here.,4.0,4.0,4.0,4.0,4.0
23,"""Business Analyst""",I worked at Baidu full-time,"Structure is flat, casual atmosphere - co-workers are normally nice and friendly, well-rounded services to employees, nice facilities - canteen, stores, gym, etc.",Sometimes it's hard to to make a strategy analysis if senior management is not very clear and consistant to the strategies.,3.0,3.0,4.0,3.0,3.0
24,"""T4""",I have been working at Baidu full-time,the working experience in baidu in challenging and  full of passion.,different department have different atmosphere. the culture of team all rely on your team leader.,5.0,5.0,5.0,5.0,5.0
25,"""Software Engineer""",I worked at Baidu  for less than a year,paid well and nice work environment,workload is a little high,2.0,2.0,5.0,3.0,2.0
26,"""a good intern experience there""",I worked at Baidu part-time,"many things to learn, to explore",not so many activities going on there,4.0,4.0,5.0,4.0,4.0
27,"""Baidu, Beijing""",I worked at Baidu full-time for more than 5 years,"work with talented and friendly co-workers
competitive salary","encourage hard working , always busy , little time to relax",2.0,4.0,5.0,5.0,4.0
28,"""Software Engineer""",I worked at Baidu ,life work balance and not too aggressive,"trafic is so bad, commute too long time",4.0,4.0,4.0,4.0,4.0
29,"""Software Engineer""",I have been working at Baidu ,Everything was fine going on there,There is no cons for me,,,,,
30,"""great benefit""",I have been working at Baidu full-time,good benefit and friendly environment,"a remote office, need to work with headquarter",,,,,
31,"""I enjoyed the life there""",I worked at Baidu  for less than a year,Really good pay and nice benefits.,"Too busy, hard to get a life.",5.0,5.0,3.0,5.0,5.0
32,"""Software Engineer""",I have been working at Baidu full-time for less than a year,"Good pay. Good culture.
Good co-worker.","Busy.
Housing price of the city.",3.0,5.0,5.0,4.0,4.0
33,"""Intern""",I worked at Baidu ,"Good company culture, good environment",Hard to communicate with some people,,,,,
