,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Great Company to work for""",I have been working at Dell Technologies full-time for more than 5 years,one word .. Great to work for,na at this time of the year,4.0,5.0,3.0,4.0,5.0
1,"""Excellent work place""",I worked at Dell Technologies full-time,Great culture with lots of work flexibility,Decision making needs to be hastened,5.0,5.0,5.0,4.0,4.0
2,"""Good benefits, generally good people""",I worked at Dell Technologies full-time for more than 5 years,"Good benefits, nice people, big company.",Company is WOKE and that means that you should worry about its survival long term. I'm not convinced the business model can afford the luxury of time and effort on things which aren't central to its products and customers.,4.0,3.0,4.0,4.0,3.0
3,"""Nice place to work""",I worked at Dell Technologies full-time for more than 5 years,"Great comp / benefits, Fair pay",Mandatory black out period where you have to be at work.,4.0,5.0,3.0,5.0,3.0
4,"""New hire feedback""",I have been working at Dell Technologies full-time for less than a year,"Great global team, Well employee benefit, Great culture code, Work and life balance",Currently no Cons for me to update,5.0,5.0,5.0,5.0,5.0
5,"""Dell Tech""",I have been working at Dell Technologies full-time for more than 5 years,Best technology company with the  broadest portfolio in the industry. Surrounded by the brightest and elite engineers,Not anything at the moment,4.0,3.0,4.0,5.0,3.0
6,"""Nice working environment""",I have been working at Dell Technologies full-time for less than a year,people works here are very friendly and intelligent.,some procedures are too complicate.,5.0,5.0,5.0,5.0,5.0
7,"""Tons of room to grow""",I worked at Dell Technologies full-time for more than 3 years,Great Leadership I was under a high volume team and my management was awesome,No major downsides if your higher performing Tech,5.0,5.0,5.0,5.0,5.0
8,"""Dell""",I have been working at Dell Technologies full-time,Great culture and great technolgy,They cut pay multiple times,,,,,
9,"""Dell Technologies""",I have been working at Dell Technologies full-time for more than 3 years,"Extensive portfolio, many resources at your disposal, competitive pay.",Sometimes difficult to navigate internally.,4.0,5.0,5.0,5.0,4.0
10,"""Great company""",I worked at Dell Technologies full-time,"Flexible hours, competitive salary, good 401k match, etc.","Public company, subject to quarterly financial reports",,,,,
11,"""Lies, misleading and downright poor business practices""",I worked at Dell Technologies full-time for more than 8 years,I am no longer there,"Refuses to pay for unused vacation time when I live in a State that requires it, Will not pay for commission earned when you leave even if the business is closed and shipped before your last day. Promotes leaders who have zero respect for their employees and encourages a locker room mentality.",1.0,1.0,1.0,2.0,1.0
12,"""Small business advisor""",I have been working at Dell Technologies full-time for more than a year,"Great company to work for, pats well, great benefits, amazing culture",Leadership is unorganized and doesn’t reside promotions until last minute,5.0,5.0,5.0,5.0,2.0
13,"""Decent Management""",I worked at Dell Technologies part-time for more than a year,Flexible hours and good autonomy,Disparate financial systems prior to GEE acquisition,4.0,3.0,4.0,4.0,4.0
14,"""WORKING HERE IS AWESOME!""",I have been working at Dell Technologies full-time for less than a year,"1. The constantly challenge me to bring the best of me.
2. Excellent flexibility in terms of work schedule.
3. Awesome work environment and lots of benefits!",Hard to escalate major positions.,4.0,5.0,4.0,5.0,3.0
15,"""Great Place""",I worked at Dell Technologies full-time for more than 3 years,Great and dynamic place to work,"Huge company, depending on your division, your experience could be vastly different.",4.0,3.0,4.0,5.0,2.0
16,"""Dell Technologies DCSE""",I have been working at Dell Technologies full-time for more than a year,"Income Potential, Great Go To Market",Big difference between Enterprise and lower tier markets,,,,,
17,"""Senior Consultant""",I have been working at Dell Technologies full-time for less than a year,"My position is remote, so I work from home about 70-80% and have a very flexible schedule.  Dell has so many benefits: 1-Great pay, compensation, 401k, healthcare, etc. 2-Great training resources 3-Opportunities for personal and professional growth 4-Compassion for good/hard work standards 5-Family-minded (keeping you and your family in mind) 6-Leaders are compassionate for your role and your growth  7-Transparency from Leaders (keeping you informed and on track for your success). Here's a big Bonus: This company is growing and growing fast while leading in every area where they compete; also Dell is a founder-led company its leader, leads from within!",There are no cons that I have seen.,5.0,5.0,5.0,5.0,5.0
18,"""Great Place to work""",I have been working at Dell Technologies full-time for more than 8 years,"They Care about their Employees, great pay and benefits",No Cons at the moment,5.0,5.0,5.0,5.0,5.0
19,"""Creative sand results focused marketing professional that helps companies stand out in a crowded market""",I worked at Dell Technologies full-time for more than 8 years,"Great company mission, leading player in IT infrastructure",Very large company although that can be a plus,5.0,5.0,5.0,5.0,5.0
20,"""Sales Executive""",I worked at Dell Technologies ,"DCSE in East China, storage team",The fair of territory segmentation,,,,,
21,"""Go Dell""",I have been working at Dell Technologies full-time for more than 5 years,"Great People, Great processes, Great products",Selling hardware sometimes there is a hiccup in the supply chain which causes delays and causes you to get paid 4 months after you closed a deal,,,,,
22,"""Overall feel good""",I have been working at Dell Technologies full-time for less than a year,The storage products are the best.,"Office automation is slightly worse, for example many accounts need be applied.",5.0,5.0,4.0,4.0,5.0
23,"""Great Company and Employees""",I have been working at Dell Technologies full-time,"Brand, Opportunities, Benefits, Career Development, Employee Engagement",A lot to learn in a short time,4.0,5.0,5.0,5.0,4.0
