,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""A place that drives hard, innovates, and cares about it's people""",I have been working at HP Inc. full-time for more than 10 years,"I have worked at HP for 17 years.  I've had 11 different jobs, and have seen a lot.  This is a place that truly values people, customers, and it's broader mission to the world across diversity, environmental responsibility, and many other areas.","Tech moves fast.  HP Inc. does as well, so hold onto your seat.",4.0,5.0,5.0,4.0,5.0
1,"""The utmost collegial company with pros & cons, but overall a great company""",I worked at HP Inc. full-time for more than 5 years,"1. Culture: Extremely collegial, very little politics and the political people get weeded out (much more so than half a dozen other Fortune 500s for whom I’ve worked)
2. International: Substantial international exposure opportunities to work with, or live in
3. Employee Development: Invest significantly in employees (e.g., Stanford program)
4. Pay: Decent salary (though not on high side in Silicon Valley, stock units should be higher Valley)
5. Career Path Opportunity Coming: Big opportunity coming to rise ranks given heavy generational weighting towards Boomers and a huge gap in Gen X’ers to manage the company when the Boomers retire (although they all seem to be hanging on longer than expected)
6. Management Team: I was almost always impressed by the calm, intelligent, non-arrogant nature of the Executives...the jerks got weeded out pretty quickly","1. Title Deflation: many people are doing the work of one level above their title given how many business units under business units there are across company 
2. Limited Career Path in Short Term (for Gen X’ers): until the top heavy Boomers really start leaving, but then there will be a huge vacuum of talent missing 
3. Mgmt. by Committee: Occasional downside of collegial culture, too many meetings to make decisions by committee
4. Late Cycle Industries/No Growth: Print is the money maker and it’s on a secular decline that 3D printing can’t make up for quick enough, and PCs can’t cover from a margin POV...it’s gonna take time to ever become a growth company again",4.0,5.0,4.0,4.0,5.0
2,"""Great People, Where's the Company Going?""",I have been working at HP Inc. full-time for more than 5 years,"Great People, Work / Life Balance, Bene's",Direction from the top is VERY cautious.,5.0,4.0,3.0,4.0,3.0
3,"""Great people, great culture!""",I worked at HP Inc. full-time for more than 10 years,"The people are great; collaborative, ""team first"" attitude, welcoming.",Print business is trending down and that has had a major impact on company performance and culture.,4.0,5.0,4.0,4.0,4.0
4,"""Software""",I have been working at HP Inc. full-time,"Good Benefits, Good People and Team","Not yet, notihing to say right now.",,,,,
5,"""Great Place to Build A Career""",I have been working at HP Inc. full-time for more than 3 years,"HP is a fantastic place to start a career. Working at a few jobs before coming to HP, I realize how good I have it here. Competitive pay, good benefits and a great work/life balance. 
This company thrives because of its employees and makes sure to take care of them.
The outreach and participation of community events has always been impressive to me. With so many groups and causes to be involved with, the work feels more important when I know my company cares about more than just the output.","HP needs to emphasize on promotions of their employees. The transition from technician to engineer should be more seamless, as it is nearly required for everyone to have a bachelors degree. So many employees start their careers at HP right out of college, but engineers appear to be treated better and given more power and say in the workplace.",5.0,5.0,4.0,5.0,4.0
6,"""asdf""",I have been working at HP Inc. full-time,"flexible, culture, location, diversity, innovation","mature, industry, traffic, asd, asd",4.0,4.0,4.0,3.0,3.0
7,"""Nice place to work""",I have been working at HP Inc. full-time for more than 5 years,Nice environment and great culture.,Could be better at career plan for the employees,3.0,5.0,1.0,3.0,5.0
8,"""Great people to work with""",I worked at HP Inc. full-time for more than 10 years,Wonderfully brilliant people that inspire you to keep growing and learning,100's of emails every day,4.0,4.0,4.0,4.0,4.0
9,"""Good working culture""",I worked at HP Inc. full-time,"I enjoyed working with HP, colleagues and management are supportive.",Lack loyalty to their employees;  moral seems low due to feeling sense that no matter how hard you work you are dispensable,,,,,
10,"""Great company""",I have been working at HP Inc. full-time for more than 10 years,"Culture, drive for innovation, passion for customers, ethics.","Speed of execution, matrix organization",5.0,5.0,5.0,4.0,5.0
11,"""Just OK""",I have been working at HP Inc. full-time,Good life work balance. Easy going management.,"Low pay, always changing without a clear direction of what they want to be.",,,,,
12,"""Great company for learning and growth""",I worked at HP Inc. full-time for more than 10 years,"Career development paths
Innovation and development
Competitive salaries","Constant restructuring
Top down management; little empowerment to individual contributors",3.0,4.0,5.0,4.0,4.0
13,"""A lot of career opportunities""",I worked at HP Inc. full-time for more than 10 years,"Great people, smart, kind, career opportunities","Pay is below industry standard, best days are probably behind HP.",3.0,5.0,4.0,3.0,3.0
14,"""Always moving""",I have been working at HP Inc. full-time for more than 5 years,"HP is constantly changing its organizational structure, which is good if you like change.",Jobs are often shifting on demand,2.0,5.0,5.0,3.0,4.0
15,"""Internship""",I worked at HP Inc. full-time,They challenge you to improve both through your work and as an individual!,Seems as if they are consistently going through reorganization which reduces future opportunities.,,,,,
16,"""Best company to work with""",I worked at HP Inc. full-time for more than a year,"Work culture, nice team, Starbucks coffee, good location",Doesn't use latest technologies,4.0,4.0,4.0,2.0,4.0
17,"""Good Company""",I worked at HP Inc. full-time for more than 5 years,Great people and networking opportunites,Commissions was a circus and was never reliable.,3.0,3.0,2.0,2.0,2.0
18,"""Chaos everywhere""",I have been working at HP Inc. full-time for more than 8 years,"It is really hard to have one when everything at the moment is in complete disarray.  With layoffs, early retirement, no focus on 'NEW' technology, it is just hard.",Same as above including no phone numbers to call HR or Help Desk for any issues.  It is all email and you are lucky to get an email back in 24 hours.,2.0,2.0,1.0,2.0,2.0
19,"""Nice Org""",I have been working at HP Inc. full-time for more than a year,"learning environment
good work life balance","nothing in particular, everything seems fine",5.0,5.0,5.0,5.0,5.0
20,"""A fun place to work""",I worked at HP Inc. full-time for more than 5 years,"The people, the problems you get to work on, and the good work-life balance.","Project scope can change quite frequently, depending on the market and financials. Products can be pushed up, pushed out, or canceled often.",5.0,5.0,4.0,3.0,4.0
21,"""Senior Marketing position""",I have been working at HP Inc. full-time for more than 3 years,"Stability, environment, benefits, people, dynamic work","Lack of strategy, senior management,",1.0,1.0,2.0,5.0,1.0
22,"""Lead ME with experience in all aspects of product development from initial concept to manufacturing release""",I worked at HP Inc. full-time for more than 10 years,It is a very supportive environment where you can safety learn from your failures,"It is very shareholder focused, thus, driving short term decisions",5.0,2.0,1.0,4.0,1.0
23,"""HP SURVEY""",I worked at HP Inc. full-time for more than 8 years,"Insurance benefits,  company vehicle, phone and laptop","Not family oriented. Managers micromanage.  For a technology company, all the tools they provide to do your job actually make your job harder. They dont care about employees or customers.",1.0,1.0,1.0,3.0,1.0
24,"""Great company, values and business culture.""",I have been working at HP Inc. full-time for more than 5 years,"Love all the teams I’ve worked closely with over the years. I grew up in the tech industry starting out of college with HP so have a lot of respect, admiration and love for the company.",Large company with complex processes which make it impossible to turn on a dime. That’s to be expected from any Fortune 1000+ company.,4.0,4.0,4.0,4.0,4.0
25,"""it's a great place to work""",I worked at HP Inc. full-time,Interesting people and diverse culture,Can be pretty demanding at times,,,,,
26,"""Good money, Great tools, Fun projects""",I worked at HP Inc. full-time for more than 8 years,Generally filled with well-intentioned people and a great opportunity to work with a huge brand.,"Internal politics, Expensive insurance, Constant lay-offs",3.0,3.0,2.0,4.0,2.0
27,"""Loved working at HP""",I worked at HP Inc. full-time for more than 5 years,I loved the people and the flexibility provided by management in regard to working remotely from home.  More companies should consider this.  I gave them more hours due to the fact I wasn't having to commute an hour each way.  This saved me money on gas and wardrobe and their trust made me even more committed to them.,Massive layoffs and job elimination.,5.0,5.0,2.0,5.0,3.0
28,"""HP Inc""",I have been working at HP Inc. full-time for more than 5 years,"Treats Employees well, no grinding","Slightly Old School, red tape",5.0,4.0,4.0,3.0,3.0
29,"""Work Environment""",I have been working at HP Inc. full-time for more than 3 years,A lot to learn around here and have to be very social,Things move very slowly around and changes don't occur as quick as people would like sometimes,4.0,3.0,3.0,3.0,3.0
30,"""Unclear what the future holds""",I have been working at HP Inc. full-time for more than 5 years,"Smart coworkers, good compensation packages, and an empowered environment",Serious business issues in a declining market,3.0,4.0,3.0,4.0,2.0
31,"""Good place to work""",I worked at HP Inc. full-time for more than 3 years,"Passionate employees, good benefits and good workplace.","Too big, not a clear vision, can get lost in the shuffle of managers",3.0,4.0,3.0,4.0,3.0
32,"""Great Place to Work""",I worked at HP Inc. full-time for more than 5 years,"Employee-friendly,  super-leadership, didn't encounter micro management",Not the best of infrastructure among it's peers,,,,,
33,"""Stressful""",I have been working at HP Inc. full-time for more than 3 years,"Good benefits, flexible work hours","The company is always changing, management is always changing, very challenging to feel successful. If you want culture... don't come to HP. You won't find any.",4.0,1.0,2.0,4.0,1.0
34,"""Great for some extra cash on the side""",I worked at HP Inc. part-time for more than a year,Flexibility. You can set your own schedule,Not many hours available unless you can pick up multiple locations,5.0,5.0,1.0,2.0,5.0
35,"""Great culture, friendly co-workers""",I have been working at HP Inc. full-time for less than a year,"- Awesome work culture. Very inclusive and friendly coworkers. 
- By far the best work-life balance I've ever encountered
- Decent pay
- Everyone wants you to succeed","- Benefits are just OK compared to other tech and fortune 100 companies. 
- Highly competitive and mature industry
- Lots of cost cutting",5.0,5.0,4.0,4.0,5.0
36,"""Good People, Poor Management""",I worked at HP Inc. full-time,"Good team mates, Good Benefits",Management runs employees too hard,,,,,
37,"""Lots of changes - still trying to find their footing""",I worked at HP Inc. full-time for more than 10 years,Peers  are great to work with,Business is mature and profitability is a challenge.  The culture has definitely changed over the years,3.0,2.0,3.0,4.0,2.0
38,"""Love HPI""",I have been working at HP Inc. full-time for less than a year,great team to work with,hard to sustain at salary,5.0,5.0,5.0,2.0,5.0
39,"""Firm Fixed Glass Ceiling - Old Boys Network still locked in""",I worked at HP Inc. full-time,Can make good money if you work the system from a sales perspective.  Most of your peers will become lifelong friends.,"Significant glass ceiling. They will fight you if you significantly over achieve comp. Toxic work space.
Operations teams worry more about following contractual terms to a t, rather than understanding and working customer needs. Customer sat matters.
Finally, internal cost structures are ridiculous, creating competitive contract pricing is stuck in HP Infrastructure of the 90's.",3.0,2.0,2.0,3.0,1.0
40,"""NA""",I worked at HP Inc. full-time,Good overall to wik for,Fair hiring practices were just ok,,,,,
41,"""Great People!  Great Products!  Great Leadership""",I have been working at HP Inc. full-time for more than 8 years,HP always puts its customers first.  If something isn't right HP finds a way to make it right.  My job is based on performance and I've ALWAYS been treated by HP leadership and my manager.,You must invest the time to meet the right people and cultivate the right relationships.  If you do you'll absolutely be succesful.,5.0,5.0,5.0,5.0,5.0
42,"""Amazing company and benefits""",I have been working at HP Inc. full-time for more than a year,Great work environment to grow.,No cons at all with HP.,5.0,,5.0,5.0,5.0
43,"""great place to work and develop your skills""",I have been working at HP Inc. full-time for more than 10 years,"big company with lots of opportunities to learn in different areas, excellent benefits, great work-life balance","stagnant industry, constant layoffs, not the best pay",4.0,3.0,5.0,4.0,3.0
44,"""good place to work""",I have been working at HP Inc. full-time for more than a year,good incentives with very good salary,huge workload with partners and customers,5.0,5.0,5.0,5.0,5.0
45,"""Very good work experience.""",I have been working at HP Inc. full-time for more than a year,"Flexible working hours, great work environment, supportive management, opportunity to diversify work experience.",Very flexible and requires a level of self-discipline,5.0,5.0,5.0,3.0,5.0
46,"""HPI no longer the company it used to be""",I worked at HP Inc. full-time for more than 10 years,"Good benefits, work/life balance and co-workers",Bad management no longer supporting the HP way,5.0,4.0,3.0,4.0,3.0
47,"""Ok..""",I worked at HP Inc. full-time for more than 3 years,You can make money! Good benefits.,Environment can be toxic.,3.0,2.0,2.0,4.0,2.0
48,"""Old tech company. Besides 3D it’s all incremental innovation to survive the commodity business model""",I have been working at HP Inc. full-time for more than 10 years,"Flex working hours, learning opportunities","Stagnant growth, low benefits. Poor health care and 401k matches compared to other tech companies.",4.0,3.0,2.0,3.0,2.0
49,"""Great place to work""",I have been working at HP Inc. full-time for more than 5 years,"Work-life management is good
401k matching fair
Employees are great in their roles","Software tools are outdated
Big company involves a lot of players to make decisions",5.0,4.0,4.0,4.0,3.0
50,"""Great company for slackers""",I have been working at HP Inc. full-time for more than a year,"Relaxed culture, nice people, stable business","Slow growth, roadblocks, lack of innovation",5.0,5.0,3.0,2.0,3.0
51,"""Awesome""",I worked at HP Inc. part-time,Great place to work at,Bad place to leave work,5.0,5.0,5.0,5.0,5.0
52,"""Great career""",I have been working at HP Inc. full-time for more than 10 years,Great company with a global presence and opportunity to learn and grow.,Strategy muddled and not consistent enough to build new lines of business.,3.0,5.0,4.0,4.0,3.0
53,"""Application""",I have been working at HP Inc. full-time for more than a year,"very nice, the recruiter and the interviewer","process took very long, about 2 months",5.0,5.0,5.0,5.0,5.0
54,"""I had a good 25 year run at HP.""",I have been working at HP Inc. full-time for more than 10 years,I learned alot working for a truly global company.,Working for such a large company it was inevitable that the company would correspondingly make a lot of changes.,4.0,5.0,4.0,4.0,5.0
55,"""Declining in San Diego""",I have been working at HP Inc. full-time for more than 10 years,Flexible work hours and varied work,HP in San Diego is growing smaller in each year,5.0,3.0,1.0,4.0,3.0
56,"""Be ready for constant change""",I have been working at HP Inc. full-time for more than 8 years,"Benefits,  range of opportunities within the company, ability to work across the globe if you have the chops.","Constant change, continued ongoing restructuring can be disorienting.",5.0,4.0,4.0,4.0,3.0
57,"""Good Place to Work""",I have been working at HP Inc. full-time,"Good Culture, good pay and benefits",Nothing to note at this time,,,,,
58,"""Great company to work for""",I have been working at HP Inc. full-time for more than 8 years,Great company and great Employees very customer focused,No major Cons at this time,3.0,5.0,5.0,3.0,4.0
59,"""HP""",I have been working at HP Inc. full-time for less than a year,"HP is a fantastic company to work for. They truly care about both their employees and their employees loved ones. They are great about working around school schedules, doctors appointments, personal days off.",currently going through it right now as a company,5.0,5.0,5.0,5.0,5.0
60,"""On the decline""",I worked at HP Inc. full-time for more than 5 years,"-Flexible work hours
-Great people 
-Highly skilled engineers","-Schedule driven rather than quality
-Current situation (2019) is very unstable and uncertain.",5.0,4.0,2.0,3.0,4.0
