,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""great""",I worked at Huawei Technologies full-time for more than 3 years,"a good workplace, great team",too much hard work and no time to get rest,2.0,2.0,4.0,4.0,2.0
1,"""Worst RA Leadership- Stay away from Regulatory Affairs at BD Carefusion""",I worked at Huawei Technologies full-time for more than 8 years,Nothing I can think of,"BD Carefusion has worst RA leadership I have seen anywhere in my regulatory experience . The leadership is completely incompetent, bully and lack of people's manager experience. High turnover in regulatory group due to complete lack of direction and Alaris fiasco. PLEASE STAY AWAY FROM THIS CRAPY RA LEADERSHIP.",1.0,1.0,1.0,1.0,1.0
2,"""Thieves""",I have been working at Huawei Technologies full-time for more than 3 years,You don't have to write any code. All they want from you is Intellectual Property that belongs to your previous employer.,"Your tenure will last about 2-3 years. Once they extract IP property you will be terminated.
Since by now they are well know you will have difficult time finding next job... since you will be consider thief as well.",1.0,1.0,1.0,1.0,1.0
3,"""solution manager for professional services and consulting""",I have been working at Huawei Technologies full-time for more than 5 years,International assignment over different contried,Enterprise culture and staff management should be improved,2.0,3.0,3.0,4.0,2.0
4,"""Great Company""",I worked at Huawei Technologies full-time for more than a year,Learn a lot and grow fast. Great people around,"Big company, hard to go up",5.0,5.0,5.0,5.0,5.0
5,"""Great work environemt""",I have been working at Huawei Technologies part-time,Friendly coworkers and positive work environment,Knowing how to Chinese helps,,,,,
6,"""Job environment""",I worked at Huawei Technologies full-time,it is a good job environment and people in there are very nice,lots of overtime required,3.0,5.0,5.0,5.0,4.0
7,"""Bad""",I worked at Huawei Technologies full-time for more than 3 years,None for non Chinese people,Too many to put in words,1.0,1.0,1.0,1.0,1.0
8,"""Interesting work but lack some direction""",I worked at Huawei Technologies full-time for more than a year,"Culture and hours at Huawei overseas is much better than at HQ, competitive pay and benefits. Chance to grow with one of the most exciting companies","Can feel like you're on an island with no direction, HQ doesn't give much guidance and when your work is presented there can be no feedback. Political factors also make it hard sometimes",3.0,4.0,5.0,4.0,3.0
9,"""IT Project Manager""",I have been working at Huawei Technologies full-time for more than a year,Great multi cultural workplace with ambience facilities and application softwares to work with,Too much of office politicking ongoing,3.0,4.0,2.0,2.0,3.0
10,"""Ambitious Company""",I worked at Huawei Technologies full-time for more than 5 years,A lot of challenges. Encouraged to innovate.  Hardworking colleagues. Paid is good,Almost no work life balance,2.0,5.0,5.0,4.0,5.0
11,"""Huawei Noah's Ark Lab is suitable place for new grads""",I have been working at Huawei Technologies full-time for more than a year,"There are many resources in Noah's Ark Lab, for example, experienced leaders and colleagues.  Also, some may have an opportunity to collaborate with top tier from all over the world here.","There are some engineering problems in the product, which may lead people into troubles sometimes.",4.0,3.0,4.0,3.0,3.0
12,"""Slave riders""",I worked at Huawei Technologies full-time for more than 3 years,You will learn a lot,You will be used like robot,,,,,
13,"""Salary""",I worked at Huawei Technologies full-time for more than 3 years,"Good, Great, awesome, Nice and encouraging",welfare of workers can be better,,,,,
14,"""Good package""",I worked at Huawei Technologies full-time for more than a year,"High tech, generous, friendly, high quality asset",Uncertainty  around the company,4.0,3.0,4.0,4.0,3.0
15,"""Supply Chain Manager""",I worked at Huawei Technologies full-time for more than 5 years,"good platform as a consumer electronics company, one of the top companies in the industry, able to rotate to totally different functions if your performance is good","company culture is quite strict, not very flexible",2.0,3.0,4.0,4.0,4.0
16,"""Huawei Technologies""",I have been working at Huawei Technologies full-time for less than a year,"Salary is good, much higher than the average salary of tech industry","No work life balance, people work hard here.",1.0,4.0,4.0,4.0,4.0
17,"""Absolutely atrocious ... stay away.....""",I worked at Huawei Technologies full-time,can't think of any at all,"toxic culture , hq runs everything. if you are not Chinese forget it..what a waste of time this company was",1.0,1.0,1.0,2.0,1.0
18,"""Going nowhere.""",I worked at Huawei Technologies full-time for more than 5 years,Benefit was decent and that’s about it,"Toxic company culture, heavyhand micromanagement from China headquarter. No work life balance. No career outlook or development. Bad communication from management.",1.0,1.0,1.0,2.0,1.0
19,"""Great while it lasted.""",I have been working at Huawei Technologies full-time for less than a year,"Pay, advanced technology, travel, flexibility",At the mercy of global politics.,,,,,
20,"""rno""",I worked at Huawei Technologies full-time for more than 8 years,"If we provide planned work and a team work, success will not be avoided.","I can break people sometimes because I'm too focused on my job, which makes me look like a cheesy guy.",3.0,3.0,3.0,3.0,3.0
21,"""Grateful for the generosity of a Privately Owned company""",I worked at Huawei Technologies full-time for more than 8 years,Innovative and Generous.  Able to integrate yourself in many aspects of the company,Political Target.  Unable to penetrate the US markets effectively,3.0,2.0,1.0,5.0,1.0
22,"""China company, not global""",I worked at Huawei Technologies full-time,"work and life balance, not much pressure for project","Too young for upper level manager, not much experience for managing talented people, communication issue with HQ, Chinese language is mandator, not matured internal systematic process for project management and many others",4.0,1.0,3.0,3.0,1.0
23,"""Huawei""",I worked at Huawei Technologies full-time for more than 5 years,They have some of the best products on the market today.,Government is holding them back and customers are really hesitant to purchase most times.,4.0,3.0,3.0,4.0,4.0
