,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""great company""",I worked at IBM full-time for more than 3 years,company treats it employees well,lots of employees and employees  are not visable,4.0,4.0,4.0,4.0,4.0
1,"""Fair, strick ethic code and control, competitive and strong innovation""",I have been working at IBM full-time for more than 10 years,"Diversity, Women in Tech, AI, Product Design, Offering Management, Voice of Customers,  care about the overall success of our customers.","Competitive, hard to promote, too many layers",5.0,5.0,4.0,3.0,3.0
2,"""Good place to work""",I worked at IBM full-time for more than 8 years,"Pay, incentives and people, opportunities","Instability, career planning and bonus structures",2.0,1.0,5.0,3.0,3.0
3,"""Forward Thinking Company""",I have been working at IBM full-time for more than a year,IBM's benefits are great and employees are valued and supported.,Switching to bi-weekly payroll would be a nice change.,3.0,5.0,4.0,4.0,4.0
4,"""Great Company""",I have been working at IBM full-time for more than 5 years,IBM is very innovative and a leader in many technology corridors.,May be over extended,4.0,5.0,5.0,4.0,5.0
5,"""good company to work t""",I worked at IBM part-time for less than a year,remote working from home was allowed,lots of meetings that were time consuming,,,,,
6,"""Employee Friendly environment""",I worked at IBM full-time for more than a year,Low Salary as compared to other companies,Employee Friendly environment as compared to other companies,4.0,5.0,4.0,4.0,5.0
7,"""IBM THE BEST""",I worked at IBM full-time for more than 8 years,Makes sure you have all the training needed,Less layoffs would be great.,5.0,5.0,5.0,5.0,5.0
8,"""Security Specialist""",I have been working at IBM full-time for more than 3 years,Work life balance is a plus,Yearly bonus could be better,,,,,
9,"""Good Springboard?""",I have been working at IBM full-time for more than a year,It's a really supportive environment with unlimited opportunities for training and personal betterment.,"The benefits and pay are way behind industry standards, there are little to no opportunities for advancement despite the infinite resources available,  client work is stressful and makes it hard to get good at your job if you're only on a project for 6 weeks at a time, while, alternatively, if you're on a longterm project, you might get stuck doing monotonous tasks that also gives no room to grow professionally.",4.0,5.0,2.0,1.0,3.0
10,"""Good job but can limit growth""",I have been working at IBM full-time for more than 3 years,"Flexibility, variety in projects, travel","Can be siloed, can be used for non data science work",4.0,4.0,3.0,4.0,4.0
11,"""So so""",I worked at IBM full-time,Nice food and colleagues. I had fun,Going nowhere and seems that is past its heydays.,,,,,
12,"""Mac@IBM""",I worked at IBM full-time,"Great Benefits, Overtime, Work from Home at times.","Relocation, Hard to Advance, still uses old Lotus Notes.",,,,,
13,"""Earn Your Keep""",I have been working at IBM ,"Good benefits, good salary, can find great people to grow fast in the company",Can be hard to navigate internal politics,,,,,
14,"""Great Company""",I have been working at IBM full-time for more than 8 years,Great Company to work for,Poor bonus structure and promotion policy,5.0,5.0,5.0,5.0,5.0
15,"""Big company doing cool things""",I have been working at IBM full-time for more than a year,There are a lot of opportunities to learn new skills and build your capabilities. There are also plenty of internal positions that will help you grow as a professional,"lacks some of the bells and whistles that you'd expect from a big, private company in terms of perks...but those are not deal breakers",4.0,,4.0,5.0,
16,"""Great place to work. Very smart people.""",I worked at IBM full-time for more than 10 years,You get to work with most educated people.,Going through a lot of changes.,4.0,4.0,3.0,5.0,4.0
17,"""Good experience so far""",I have been working at IBM full-time for more than a year,"So big, you have so many resources at your finger tips. 

If you have a question someone knows the answer.","Almost too large of a company, tough to keep track of so many different things that go on.",,,,,
18,"""Good working atmosphere""",I worked at IBM full-time,Get many benefits as an employee,"Did not see any, everything was good",5.0,5.0,5.0,4.0,4.0
19,"""Great work""",I worked at IBM full-time for more than 8 years,Good technology acuman within organization,middle leadership layer is too thick,4.0,4.0,4.0,4.0,3.0
20,"""Passionate people""",I have been working at IBM part-time for less than a year,Relaxed work-life balance. In my experience engineers are passionate about their work and leadership is solid,Salaries are not as competitive as other big tech companies. Company struggles to retain talent,5.0,5.0,5.0,4.0,5.0
21,"""Review""",I worked at IBM full-time,Great co workers during employment,Security Of job while employed,,,,,
22,"""Positive experience overall""",I worked at IBM full-time for more than a year,"* Competitive salary and better-than-average PTO benefits
* Professional team that I enjoyed working with for the most part
* Macbook Pro laptops :)
* Great manager","* Limited growth = limited opportunities for advancement
* Still finding their way in software development business
* High salaries are paid for in part by reducing benefits",5.0,4.0,3.0,4.0,4.0
23,"""OK company""",I worked at IBM full-time,worked with good people in group,company slow to adapt to change,5.0,3.0,3.0,4.0,2.0
24,"""Software developer""",I have been working at IBM ,"Good work-life balance, 401k and lots of internal resources for learning.","Small raises, limited promotions, small bonuses",4.0,4.0,4.0,3.0,3.0
25,"""Great""",I worked at IBM full-time,Comraderie was great between my team,slow growth leads to boredom,5.0,4.0,4.0,4.0,4.0
26,"""One of the best companies I worked for""",I have been working at IBM full-time for more than a year,Great benefit. Great culture. Inclusive culture.,Some more food options or provide some more free snaks.,5.0,5.0,4.0,3.0,3.0
