,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Great place to work and build a career.""",I have been working at Lenovo full-time for more than 10 years,"Great pay, benefits and executive leadership.",Flexible work hours may be required if role is world wide.,,,,,
1,"""Great Place for New Grads""",I have been working at Lenovo full-time,"As a new grad, I never expected to have work from home days weekly, an unlimited vacation policy and such a competitive benefits package. It's fast-paced and has a super flexible culture and access to leadership. Couldn't recommend it higher!",There have been limits with having to park at a different building and walk over to your building with so many people on site.,5.0,5.0,4.0,4.0,5.0
2,"""A big company with startup like agility""",I have been working at Lenovo ,"Amazing talent and motivated folks - probably the best I have worked so far in my career.
The project I am in uses the best of breed technology, and so there is so much to learn everyday. 
Highly fast paced. I have been part of complex projects that went from incubation to production with fortune 100 customers using it with in a matter of 3 months.  These would have easily taken years in the previous company I had worked with.
Management is very supportive and walk the talk 
Too much focus on innovation","Congested office spaces in Morrisville. 
Office ambience deserves improvements",3.0,5.0,5.0,5.0,5.0
3,"""If you know the right people, work on a good team, and have a good manager, this is a great place to work""",I worked at Lenovo full-time for more than 10 years,"The benefits (medical, dental, , vision, and 401k) are good and Lenovo has a good number of paid holidays.  Your insurance premiums are much lower than some of the contractors who have to go through their contracting company.  There's a gym, nurse, and cafeteria on the campus (contractors are not allowed to use the gym nor the nurse).  The company usually offers free flu shots for the employees.  On many teams, employees are assigned a Lenovo ThinkPad to use.  The profit sharing bonuses are nice.  Some of the contests, benefits, spiffs, and gifts in the sales teams are great (one year lease on cars and Rolex watches were given out in the past).  They have an employee purchase discount on both the Lenovo PCs and Moto phones.  They have many community events such as assisting Habitat for Humanity, etc...  Ten years ago, they used to have free lunches to celebrate Thanksgiving and Christmas.  Technically you have unlimited vacation (with manager approval).  *****If you know the right people, work on a good team, and have a good manager, this is a great place to work.*****","Some of the cons have been inherited from IBM - these include some inefficient structure and some software in some areas (Lenovo is making some attempts to change this).  As mentioned before, there's a lot of corporate politics in some groups and I feel that some of this came over from IBM (at least my retired IBM friends confirm this).  Some of the managers seem to fall into the category of ""they were great at what they did in their previous position, but they are not great at managing people"".    Not always an issue, but some teams have to work closely with their counterparts in China and this could mean working later or earlier, due to the time differences.  There seems to be a high turnover in some teams and there is seems to be a corporate wide layoff every two years.  Contractors don't always have access to all of the perks the employees do.",4.0,4.0,3.0,3.0,3.0
4,"""Phenomenal company to work for, be ware of DCG division""",I worked at Lenovo ,"People first is a real thing.  If you perform well at your role, you are encouraged to have a vision of where you want to go and support to get there.  Very good benefits including onsite gym and medical services.  Human Resource Groups that support diversity.  Quality products and a genuine culture of integrity and desire to change the world.",The Datacenter Group (DCG) is at an entrepreneurial stage which can be exciting but the strategy is unclear which makes execution challenging and leadership appear weak.,,,,,
5,"""I love Lenovo""",I have been working at Lenovo full-time for more than 8 years,"No day is the same. I've been with the company for a decade, have been promoted several times, and they have supported me in countless ways. VERY flexible, actively encourages flex hours",Evening calls can be rough,5.0,5.0,5.0,5.0,5.0
6,"""good benefit and work environment""",I worked at Lenovo full-time,good benefit and work environment,"only lasted one year, then reorg happened",4.0,4.0,3.0,3.0,2.0
7,"""Good workers, lousy upper management""",I worked at Lenovo full-time for more than 5 years,"The people in the Santa Clara office are great. They're sharp, they're easy to work with.
The benefits are okay.","Upper management wants to do everything in China or just about anywhere other than the US. They're more interested in the bottom line than in quality.
It's almost impossible to get promoted in the company. Managers are almost always hired from outside.",4.0,2.0,1.0,3.0,1.0
8,"""LASR""",I have been working at Lenovo full-time for less than a year,"Great work life balance
Great people
Great first job",none that I can think of!,5.0,5.0,5.0,5.0,5.0
9,"""Great Company, Great People, Limited Career Growth""",I worked at Lenovo full-time for more than 5 years,Collaboration was strong within the group I was in which made for a very high performing team.  Everyone was focused on what to improve while leaving ego aside.  My kind of environment!,Promotions are really about who you know and therefore trust.  If you dont have the relationships but are a star performer there is a high liklihood of being overlooked.,4.0,4.0,4.0,4.0,4.0
10,"""Strong culture, benefits, and talent""",I have been working at Lenovo full-time for more than a year,"Culture, workplace flexibility, benefits, hands-on ownership of work. Strong focus on diversity and inclusion in the workplace that I see in my day-to-day work.","With the ownership of work comes a lot of responsibility and increased communication in a cross-global organization. While this can be challenging at times, it is very rewarding.",5.0,5.0,5.0,5.0,5.0
11,"""Great Company!""",I have been working at Lenovo full-time,"Lenovo truly cares about their customers and employees. They listen to feedback and make adjustments! Benefits are amazing as well as the work culture and flexibility. Last but definitely not least is Lenovo's reputable, industry leading products.","Not many con's to this company! Usual Con's of a large company is communication - as sellers we're sometimes the last to hear of extension in special pricing (via email) which is silly.  Would be nice to have those special pricing in a central location - one update and everyone is notified and can access it immediately, at anytime without relying on emails being forwarded.",5.0,5.0,5.0,5.0,5.0
12,"""Great place to work!""",I have been working at Lenovo full-time for more than a year,"Great benefits, unlimited vacation, diverse employee group.","Not a lot of cons, overall just long hours due to global environment.",4.0,5.0,5.0,5.0,4.0
13,"""Excellent Performance Culture""",I have been working at Lenovo full-time for more than 5 years,"Very supportive, promotion from within and room for advancement, very fun energy and place to work, events and social gatherings, great benefits.  Unlimited vacation is great.  It's a nice option to not ""count the days"" but after a few years of having it you just feel able to use it if you want to but not abuse it.  Nice to be able to say yes to a few more 1-2 day things during the year - a ski trip, a family or child's event, etc. but it's not abused.","Not much bad to say.  You will reap what you sew.  Work hard and you are treated with respect and given .  You work hard, but you are granted flexibility if you show your value and ""own your business""",4.0,5.0,5.0,5.0,5.0
14,"""Great place to work and build a career.""",I have been working at Lenovo full-time for more than 10 years,"Great pay, benefits and executive leadership.",Flexible work hours may be required if role is world wide.,,,,,
15,"""Amazing Benefits, Culture, and Employees""",I have been working at Lenovo full-time for more than a year,Great people to work with. We have a strong bond and rely on each other to learn and grow in our careers. Growing in the tech industry requires change and adaptability.  Lenovo is growing and always changing. The company embraces change.,When I first started there was a large age gap between generations. Lenovo's working on this and I can already begin to see the change and better collaboration.,5.0,5.0,5.0,5.0,5.0
16,"""Great Place to Worj!""",I have been working at Lenovo full-time for less than a year,"Tons of passion focused around the organizations mission of Smarter Technology for all!
Compensation plans that align with company objectives.
Less silo’d and more collaborative then most other Fortune company’s I’ve worked for/with.  
Autonomy to run your business and make decisions that are customer centric. 
Relentless focus on the customer experience",Complicated flow of information.,5.0,5.0,4.0,5.0,5.0
17,"""Amazing Company to Work For!""",I have been working at Lenovo full-time for more than 3 years,Lenovo has a great culture that really drives employees to be successful. The work atmosphere is welcoming and really fosters a sense of having the ability to grow in to the career you want. The work life balance is unmatched and management is fantastic.,Honestly cannot think of any cons.,5.0,5.0,5.0,5.0,5.0
