,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Account Manager""",I have been working at Microsoft full-time for more than 3 years,"Benefits, Culture, Pay, people, are great",Cons are some of management is disconnected,5.0,5.0,5.0,5.0,5.0
1,"""Thoughts after 10 years....""",I have been working at Microsoft full-time for more than 10 years,"1.  If you love tech, this is a great place.  No doubt you'll talk tech (mostly the MSFT stack) from enterprise to consumer - from PCs to phones to Xboxes - from datacenter to desktop.

2.  What were GREAT benefits are now VERY GOOD (took a small step down) but still probably better than you'll find at 99% of large corporations.  If you've got family - the value of the benefits is even higher.  401k match is nice.

3.  Even with it's struggles MSFT is still a cash printing machine.  This means if you can keep your nose clean and do reasonable work, you can have a stable job, pay your bills, feed your family, and not worry (too much) about layoffs.  The stock you own likely won't tank, but probably won't go up much either.  You'll get a bonus each year and some stock.  It's a decent life if you aren't looking to light the world on fire.","Brand on Your Resume:  After many years of losing market share and struggling to be at the front end of innovation and the fact that there's 90,000 employees, don't think MSFT is necessarily going to be attractive on your resume to more agile and smaller companies.

Managing Your Career:  Make you say this out loud so it registers - 90,000 employees work there.  Double that for vendors.  It is VERY hard to ""stand out"" and move up in the company.  Don't expect your manager to be much of an advocate or enabler to help you meet your career goals - they are basically trying to survive the stack rank every year too.  Not familiar with the stack rank?  Check out the 2012 Vanity Fair article called ""Microsoft's Lost Decade"".",4.0,2.0,2.0,4.0,
2,"""Simply Fantastic""",I worked at Microsoft full-time for more than a year,"The pay, benefits, culture, and ability to move around within the company is fantastic.",I honestly cannot think of any.,5.0,5.0,5.0,5.0,5.0
3,"""Great company..  Silo’d and some empire building.""",I have been working at Microsoft ,Working on massive billion dollar worldwide technology.  Fast moving.  There is money to fund programs other companies simply can’t afford to do.  They also carry massive influence when dealing with vendors.,"The organization has way too many product managers.  There is not enough thought to long term investments and technologies that need to be researched.  Everything is assumed to be a workable technology and program even if it’s still an experiment.

You can’t program manage technologies that aren’t ready for prime time.

There is also some empire building.",5.0,5.0,3.0,5.0,5.0
4,"""I truly love my job""",I have been working at Microsoft full-time for more than a year,"- Flexibility
- Growth
- Accessibility
- Incredibly intelligent peers",- Can be hard to move up in support engineering,5.0,5.0,3.0,5.0,5.0
5,"""Amazing company. Great employer.""",I worked at Microsoft full-time for more than 10 years,Great environment. Hours flexibility. Great benefits.,None. This company really takes care of employees.,5.0,5.0,5.0,5.0,5.0
6,"""Work never ends, contract did. was a Great Ride, Cant wait to return""",I worked at Microsoft full-time,Learned tons of new products in just 18 months,18 moth rule with 6 month off before returning is all kinds of wrong!!  Especially with an asset like me.,,,4.0,3.0,
7,"""good company""",I have been working at Microsoft full-time,good company to work for anyone,there is no cons to say,,,,,
8,"""Business Expert""",I worked at Microsoft full-time for less than a year,"Good benefits, management, trainings and work environment",I don’t think they have cons,5.0,5.0,5.0,5.0,5.0
9,"""Good company""",I have been working at Microsoft full-time for more than 3 years,"Very good company, excellent benefits","Teams can be non-cooperative, some people just coasting",5.0,5.0,5.0,5.0,5.0
10,"""Great company to work for""",I have been working at Microsoft full-time for more than 8 years,"Competitive work, great people, good team environment",Compensation is bit low compared to FANG,,,,,
11,"""good""",I have been working at Microsoft full-time,Good work place to work for.,not any i can think of,5.0,5.0,5.0,5.0,5.0
12,"""Great company""",I have been working at Microsoft full-time for more than 10 years,"Wide range of opportunities, overall compensation, resources available",Large company and has some silo behavior. Not the top in compensation.,4.0,3.0,5.0,5.0,4.0
13,"""MICROSOFT""",I have been working at Microsoft full-time for more than 10 years,"Flexibility ,  good culture, benefits, good money and rewards","Product mindset , too much structure, policital alignment or sponsor needed tongrow",5.0,5.0,2.0,5.0,1.0
14,"""Good company""",I worked at Microsoft full-time for less than a year,This company is a good place to work for,I don't see any cons while working here,4.0,4.0,4.0,4.0,4.0
15,"""Great company""",I have been working at Microsoft full-time for more than 10 years,Culture is awesome and energizing,Slow career growth if in the wrong group,4.0,4.0,3.0,3.0,3.0
16,"""Best place to grow""",I have been working at Microsoft full-time for more than a year,"Great company , great work life balance, great perks",Nothing. Everything is good here,5.0,5.0,5.0,5.0,5.0
17,"""Great Company""",I worked at Microsoft full-time for more than 8 years,One of the best companies to work at,relatively a bit less RSUs to competitors,5.0,5.0,5.0,5.0,5.0
18,"""Being Apart of A Family.""",I worked at Microsoft part-time for more than 3 years,"In my experience this is the best company to work for. I've had an amazing experience being a Part Time Product Advisor. I received full time benefits, such as health care, sick time, and vacation time. On top of that they helped me pay for school. All in all this is a wonderful place to work. The store I worked for became a family. We worked as a team #winasateam was our daily motto.","Hours and part time to full time opportunities where slim.
And they shut down the only Microsoft Store in Wisconsin.",3.0,5.0,5.0,5.0,5.0
19,"""Great company to work for!""",I have been working at Microsoft full-time for more than a year,Work life balance and the ability to work from home,Management pushes numbers and sometimes micro-manages. Queue time is also another downside but it does keep engineers busy and make the day go by faster.,5.0,5.0,5.0,5.0,5.0
20,"""Great company to work for!""",I have been working at Microsoft full-time for more than a year,Work life balance and the ability to work from home,Management pushes numbers and sometimes micro-manages. Queue time is also another downside but it does keep engineers busy and make the day go by faster.,5.0,5.0,5.0,5.0,5.0
21,"""Great company with high values and Great work life balance""",I worked at Microsoft full-time,Great company with high values and Great work life balance,lower salary comparing the to other big tech,5.0,5.0,5.0,3.0,5.0
22,"""Great experience at a world leader""",I worked at Microsoft full-time for more than 5 years,"Great benefits, market leader across the board, great people and culture.","In services the processes for sales are very heavy to get the smallest of tasks completed, such as get a pre-sales architect for a client meeting. Spend a lot of time with internal trainings and filling out forms. Management can turnover a lot.",5.0,5.0,4.0,5.0,3.0
23,"""Good place to work""",I worked at Microsoft full-time for more than a year,"good benefits, pro club, transportation",unpredictable leadership but otherwise pretty good,,,,,
24,"""Great company, cloud computing is driving its growth and valueation""",I have been working at Microsoft full-time for more than 3 years,"Great CEO, big focus on Azure a huge plus","Very bureaucratic, at higher levels very political",5.0,5.0,3.0,3.0,5.0
25,"""Awesome company to work""",I have been working at Microsoft full-time for more than 8 years,Challenging and  competitive,Corporate politics and too many Project managers,4.0,4.0,5.0,3.0,1.0
26,"""msft review""",I have been working at Microsoft part-time,"work life balance, work is concrete","slow growth, promote slow slow",,,,,
27,"""large diverse company""",I worked at Microsoft full-time,vast resources and opportunities to work on different things,silos sometimes prevents people from taking ownership of a problem,,,,,
28,"""great company""",I have been working at Microsoft full-time for more than 8 years,work life balance. good culture,"total comp and stock refreshes,",5.0,5.0,4.0,3.0,4.0
29,"""It's what you make out of it""",I have been working at Microsoft full-time for more than 3 years,"Lots of opportunities for growth, great culture, good benefits, flexibility.","Very competitive when it comes to rewards, bonuses and promotions. Different roles have different incentives that don't align towards the same goal.  Lots of heavy travel sometimes.",4.0,5.0,5.0,4.0,4.0
30,"""good""",I worked at Microsoft full-time,good overall rating for business,nothing bad to mention about this job role,,,,,
31,"""I love Microsoft""",I worked at Microsoft full-time,I like the culture and environment of the company.,I don't have any cons,5.0,5.0,5.0,5.0,5.0
