,Title,WorkTime,Pros,Cons,Work/Life Balance,Culture & Values,Career Opportunities,Compensation & Benefits,Senior Management
0,"""Good company""",I worked at Samsung Electronics full-time for more than 5 years,"Good benefits 
(food, commute bus)
 smart people
 flexible working hour","Hierarchical culture 
 work/life balance is not too good
Top down decision making",3.0,3.0,5.0,5.0,4.0
1,"""4.5""",I have been working at Samsung Electronics part-time,totur vista job technical team support,on times and I am sure that works do perfect,5.0,3.0,4.0,4.0,4.0
2,"""Good benefits but work and life balance""",I worked at Samsung Electronics full-time,"Good benefits, get to work on hot trending products. Also able to work with top tier customers and learn market trend.",long working hours and work/life balance is not great. Also very hierarchal. Most decisions are made top down. So culture and business are highly dependent on the management and makes a huge difference based on who it is.,1.0,4.0,4.0,4.0,3.0
3,"""Great place to work""",I worked at Samsung Electronics full-time for less than a year,Good work environment. Lots of growth opportunities if you're willing to put in the work.,"Honestly, I believe there were not many cons.",5.0,,5.0,,
4,"""Good""",I have been working at Samsung Electronics full-time,Consistent job very good pay,Work in a Best Buy instead of Samsung,3.0,3.0,3.0,3.0,3.0
5,"""Pros and Cons""",I have been working at Samsung Electronics full-time for more than 8 years,Learn something new everyday and broaden networking among the carrier leads,A lot of tasks from HQ korea,4.0,4.0,5.0,5.0,4.0
6,"""This is a wonderful company.""",I worked at Samsung Electronics full-time for more than 3 years,The amount of detail oriented training given to each employee in addition to recognition given when there is improvement in job performance.ql,The sudden change in the work place do to the lack of. Communication.,4.0,4.0,4.0,5.0,4.0
7,"""work""",I have been working at Samsung Electronics full-time,very rewarding on the assign jobs,work very late every nite during the project,3.0,3.0,4.0,4.0,3.0
8,"""Competitive Pay Great Benefits""",I have been working at Samsung Electronics full-time for more than 10 years,Competitive Pay and Great Benefits,None that I can think of,4.0,4.0,5.0,5.0,4.0
9,"""Very flexible in working with my schedule.""",I have been working at Samsung Electronics part-time for less than a year,"Pay is good
Scheduling is flexible",None as far as I've seen,5.0,4.0,5.0,4.0,5.0
10,"""Company is great, Third Party company they used to outsource staff is terrible""",I worked at Samsung Electronics full-time for less than a year,"Great pay, Good Company, Good Values and Cutting Edge Technology",They used a terrible Third party company to staff their Retail location,3.0,4.0,2.0,4.0,4.0
11,"""ok""",I worked at Samsung Electronics full-time for more than 5 years,it can be very challenging but also fun,not much work life balance and time to execute is short and compromises quality,2.0,1.0,3.0,5.0,1.0
12,"""Great Benefits""",I worked at Samsung Electronics full-time for more than 3 years,Great Benefits with long working hours,long working hours with great benefits,4.0,4.0,4.0,4.0,4.0
13,"""Great Culture, must work hard""",I worked at Samsung Electronics full-time for more than 3 years,"Culture, benefits, people products and pay are fantastic, if you put in the work.",Work life balance.   Tough family life with the amount of travel the job required,2.0,4.0,3.0,5.0,4.0
14,"""Mobile FSM""",I have been working at Samsung Electronics full-time,"Weekday flexibility 
Make your own schedule 
Travel","Lots of weekends
Can only use PTO for 6 months out of year due to multiple blackouts 
Confusing/incorrect communication",,,,,
15,"""Must handle stress well""",I worked at Samsung Electronics full-time,Get the latest device,Absolutely no work life balance or growth opportunity,,,,,
16,"""Samsung review.""",I worked at Samsung Electronics full-time,"Good challenging work, and great team.","Bad working environment, with incompetent management.",,,,,
17,"""Company in a Free Fall""",I worked at Samsung Electronics full-time for more than 5 years,Excellent pay and benefits for the work,"No stock or long term incentives, terrible outdated management style",2.0,1.0,1.0,4.0,1.0
18,"""Grass is Very Green""",I have been working at Samsung Electronics full-time for more than a year,"Personal growth, fun projects, great benefits",Little to   no upward movement.,4.0,5.0,2.0,4.0,4.0
19,"""good place""",I have been working at Samsung Electronics full-time,stable and good work environement,lot of politics can be there,,,,,
20,"""fast paced environment""",I worked at Samsung Electronics full-time for more than a year,Good benefits and a great place to learn,strong structure of hierarchy makes unnecessary jobs.,2.0,3.0,5.0,5.0,3.0
21,"""Amazing multinational company to work""",I worked at Samsung Electronics full-time for more than 3 years,"Good salary, Good environment, Good benefits","Extremely hard workers
Few personal time",3.0,3.0,4.0,5.0,4.0
22,"""Great job""",I worked at Samsung Electronics part-time for more than 3 years,I loved this job.  Unfortunately the Samsung program within Best Buy stores ended.  Helping people  use their devices and troubleshooting problems was rewarding. I was very lucky to have wonderful management.  I learned so much from them.,The partnership ended and program has been discontinued,5.0,5.0,5.0,5.0,5.0
23,"""Led sales group""",I worked at Samsung Electronics ,"Brand awareness, technology, colleagues, pay","Culture, executive management, work/life balance",,,,,
24,"""great tim""",I worked at Samsung Electronics full-time,"Great people, great work, great stuff","None it was great, really great",5.0,5.0,5.0,5.0,5.0
25,"""Terrible- Find Something (Anything) Else""",I worked at Samsung Electronics full-time for more than a year,"Benefits and pay are highly competitive, (but they have to be based on what is in store for you as an employee.)
Well known brand for consumers. (Too bad it doesn't translate to employees or partners)","The worst company culture I've ever experienced, seen or heard of. You will be worked to the bone. No balance at all. Ever. And forget about any onboarding, development, tools or resources. You will be provided with nothing and expected to navigate the most outrageous hurdles at the same time. 

Additionally be prepared for toxic people in the masses. Not just one or two.... most. Including leaders and HR. Everyone had been conditioned to back stab, manipulate and tear each other down. And you can't trust HR or ER to do anything about it. There has been sexual harrasment, code of conduct violations and serious discrimination especially against women. HR knows about it and brushes it off. And In some cases they even participate in it. No urgency. No concern. No action. 

Micromanagement is constant from all levels. You will be handcuffed and expected to run around like a chicken with your head cut off on the least impactful and most meaningless work. Dont expect to enjoy any PTO either. You are always on. Unless you are a low performing dirt bag. Then you will be protected and allowed to make everyone miserable with your terrible attitude all while everyone that is decent and hardworking is expected to do your work.

Everyone will try to place blame on Korea but the reality is you just have a cesspool of nasty, inept and terrible people at one place with no accountability.",1.0,1.0,1.0,3.0,1.0
26,"""Poor management""",I worked at Samsung Electronics full-time for more than a year,The pay was decent and overtime was always available,"Managment was terrible, did not provide any support to employees, couldn't assist with basic needs or questions. 
Supervisors would often verbally harass associates.
Would have your job or position threatened to force you to ""volunteer"" for extra duties 
Work life balance is terrible, consistently worked 6 days 12 hours a day or more. 
Safety was terrible and associates were often made to perform unsafe tasks.",1.0,1.0,1.0,4.0,1.0
27,"""Lead engineer""",I worked at Samsung Electronics full-time,Great perks and life balance,Need to improve more tech side policies,4.0,4.0,4.0,4.0,3.0
28,"""Good asian company and get a wonderful experience.""",I worked at Samsung Electronics full-time for more than 3 years,Samsung is a international company where you can get a wide perspective on how world is going.,"They need a very fast process, which makes you exhausted",2.0,4.0,3.0,5.0,4.0
29,"""Feild Sales Manager""",I worked at Samsung Electronics ,Fun job you get to meet lots of new people,No set schedule lots of driving,4.0,5.0,2.0,5.0,3.0
30,"""good company""",I have been working at Samsung Electronics full-time,"good cafeteria, gym, nice view",no stocks is the biggest disadvantage,,,,,
31,"""Black Person Working In Human Resources""",I have been working at Samsung Electronics full-time for more than a year,The job responsibility.,Human Resource Leadership:  Discrimination is so real if you are black.  You don't have a chance.   They hire their friends and overlook those that want to be apart of sometime great.  They will keep doing it until top managers look down.,3.0,1.0,1.0,1.0,1.0
32,"""Lots of Learning experience""",I worked at Samsung Electronics full-time for more than a year,Challenging work. Worked on new  technologies,Too much  work pressure and short deadlines.,,,,,
33,"""Good place to work!""",I worked at Samsung Electronics full-time for more than a year,"With Samsung across so many sectors, you'll find some of the best people in their fields.",The work culture probably isn't upto the mark.,,,,,
34,"""Good for foreigners if you can adapt to local customs and culture.""",I worked at Samsung Electronics full-time for more than 5 years,Great benefits and campus. Has large resources.,Highly competitive. Limited upward mobility. Difficult to move internally. Experience highly dependent on team and business division.,4.0,2.0,3.0,5.0,2.0
35,"""Great perks, bad management""",I worked at Samsung Electronics full-time for more than a year,"Great great perks: gym, food, samsung products discount",very poor poor poor management from both Korea and US,5.0,3.0,3.0,5.0,1.0
36,"""Potential - Growing Company""",I have been working at Samsung Electronics full-time,Potential  Growing Company in business,Great place I like it,4.0,4.0,4.0,4.0,4.0
37,"""Forklift operator and Assembly operator warehouse associate""",I worked at Samsung Electronics ,Great place to work great pay. Great place to retire and family environment.,From my knowledge there are no cons from what I read on your company page .,,,,,
38,"""This is a so so company""",I worked at Samsung Electronics full-time for more than a year,Great pay and benefit and people are nice,A lot of work,1.0,2.0,2.0,5.0,2.0
39,"""Probably the top semiconductor company in Texas""",I have been working at Samsung Electronics full-time for more than a year,"Excellent modern Facility
Innovative Technology
Awesome Benefits
Clean and Organized","Engineers are treated better than anyone else
Technician Advice is usually ignored
Terrible parking arrangement
High Stress
Slow pay increases, will low ball you in pay if you let them",3.0,3.0,3.0,3.0,3.0
40,"""No""",I have been working at Samsung Electronics full-time for more than a year,"Pay, discounts, varied work, travel to events",No work life balance. Numerous operational inefficiencies. No job security,1.0,2.0,2.0,4.0,2.0
41,"""Strategic Product Work""",I worked at Samsung Electronics full-time for more than 5 years,"Most of the PM work was very strategic - preparing business cases, evangelizing and pitching.",Top Management re-org very often,3.0,3.0,4.0,3.0,3.0
42,"""Great workplace in the world""",I worked at Samsung Electronics full-time,"Good compensation and benefits.
Smart people to work together.",Location was limited to Korea.,,,,,
43,"""Work life balance""",I have been working at Samsung Electronics full-time for more than a year,"good place to learn, good benefits",work life balance is not good,3.0,4.0,2.0,3.0,3.0
44,"""It was a fun job""",I worked at Samsung Electronics part-time for less than a year,Got to meet a ton of celebrities and do fun activities,Standing for a long time,2.0,5.0,5.0,3.0,3.0
45,"""It’s fun""",I have been working at Samsung Electronics full-time for more than a year,Get free lunch without going out to eat,Not much but again who complains,4.0,4.0,4.0,4.0,4.0
46,"""less influence from korean HQ, better work-life balance""",I worked at Samsung Electronics full-time for more than 3 years,"good pay, good benefit, and good health insurance","difficult to work with korean HQ, constantly changing project goal &amp; scope",3.0,2.0,3.0,4.0,4.0
47,"""Intern""",I have been working at Samsung Electronics full-time for less than a year,"Interesting work, cool building, nice team",split company culture and very cold building,4.0,4.0,4.0,4.0,5.0
48,"""FSM layoffs and outsourcing""",I have been working at Samsung Electronics ,"Flexibility, (sometimes) new technology, travel","No job security. We were sent a “look ahead” schedule for November and December. Everything was changed last week of October. No consistency. We were taken from third party, 2020 companies/PRS, in 2018. Layoffs in June of 2019. More layoffs and outsourcing back to third party companies in January 2020. We are told to sell but don’t make commission. Constant change in quarterly bonuses. No opportunity to be promoted. Some people are told one thing and others are told another. Leadership was taken from a failing program at Best Buy due to networking and who they knew.",2.0,1.0,1.0,4.0,1.0
49,"""Very good company""",I have been working at Samsung Electronics full-time for less than a year,"very good benefit, including medical, cafe, gym. The coworkers are nicer. Team culture is a kind of like a family.",Need to call with Korea team and India team often. So most of the evenings are occupied by meetings.,3.0,4.0,4.0,5.0,4.0
50,"""Software and Patent Engineer""",I have been working at Samsung Electronics full-time for more than 10 years,"Samsung is great company.
I can do work as both Patent and Software Engineer.",Too much time in the office.,5.0,5.0,5.0,5.0,5.0
51,"""Samsung Sales""",I worked at Samsung Electronics full-time for more than a year,"Great learning experience
good peer
company prone to profit sensitivity.","Too large to move up the ladder
Market response time is quite slow.",3.0,3.0,3.0,5.0,2.0
52,"""Good company to work for""",I worked at Samsung Electronics full-time,benefits are goods  lots of opportunities to grow,constant changes in leadership and direction,,,,,
53,"""Great overall compensation package and benefits""",I worked at Samsung Electronics full-time for more than 5 years,Great overall compensation package and excellent benefits.  They also strived for work/life balance and letting you work from home when necessary.,"Like most companies, it has it's share of politics but aside from that great place to work.",5.0,4.0,5.0,5.0,4.0
54,"""Getting your foot into the technology world""",I worked at Samsung Electronics full-time for more than a year,"Great community of people to work with 
Great communication and hard working
They teach you alot","not great compensation 
Management is really bad
No motivation 
No elevation",3.0,2.0,1.0,1.0,1.0
55,"""Great opportunity, testy culture at times,""",I have been working at Samsung Electronics full-time for more than 5 years,"Great brand, products, benefits, and customers, good opportunity for results driven workers","firedrill reporting, some cultural challenges, some bad managers....",2.0,3.0,4.0,4.0,2.0
56,"""Review""",I have been working at Samsung Electronics full-time for more than a year,The work done is quiet relevant and good,Most of the task is related to maintainance,,,3.0,,
57,"""It was a real good company until it started going downhill""",I have been working at Samsung Electronics full-time for more than 8 years,Good paying job and it keeps you busy,If you can work a full eight hours without running out of work before half of the day is gone and having to end up cleaning the shop everyday for the rest of the day then you should be allright,5.0,5.0,5.0,5.0,5.0
58,"""So So""",I worked at Samsung Electronics full-time for more than 5 years,"Good co-workers, nice environment for work",Not friendly management overall. just friendly to Korean Employee,4.0,4.0,3.0,3.0,3.0
59,"""Good Opportunity""",I worked at Samsung Electronics full-time,lots of chances to work,have a bad work culture,,,,,
60,"""Exciting industry, limited opportunities""",I worked at Samsung Electronics full-time for more than 3 years,"Great brand value
Good pay
Great product lineup","No latitude to implement changes
Short sighted management
Management has no clue about ground realities
No career progression",3.0,2.0,2.0,4.0,2.0
61,"""Manager""",I worked at Samsung Electronics full-time for more than 3 years,Lots of responsibilities are given,No support is given to accomplish job,1.0,1.0,2.0,3.0,1.0
62,"""good company""",I worked at Samsung Electronics part-time,good pay for work required,only one full time employee per store,,,,,
63,"""Hard working, fast follower, good benefits""",I worked at Samsung Electronics full-time for more than 10 years,"Always try to achieve its target, and good compensation for it.","Very big organization, less self authority",3.0,4.0,4.0,5.0,4.0
64,"""Awesome""",I have been working at Samsung Electronics full-time for less than a year,Great team got to work with good people,I can't really say there is anything bad with the company.,5.0,5.0,5.0,5.0,5.0
65,"""Horrible Culture and Communication""",I worked at Samsung Electronics full-time for more than a year,Big company and with a brand name.,"No respect for individuals or appreciation for work completed.  Focus is always what has NOT been DONE.  Time spent on projects then only to have them discarded, so time is wasted.  Everything is dictated from HQ, they don't conform to the Silicon Valley ways.  No working from home and there's not trust at all.",1.0,1.0,1.0,2.0,1.0
66,"""Samsung Eats Apple's""",I worked at Samsung Electronics full-time for more than 3 years,Fun.  Tech. Solid company. Perks. Freedom. Family.,More travel than I wanted. I chose to spend more time with my family.,4.0,4.0,3.0,4.0,4.0
67,"""Samsung FSM""",I have been working at Samsung Electronics full-time for less than a year,I really enjoy working for Samsung. It's a great opportunity to build many relationships with peers and customers.,"A lot of time driving if you're in a rural area. That doesn't have to be a ""Con"".",3.0,5.0,3.0,5.0,4.0
68,"""Good company""",I have been working at Samsung Electronics full-time for more than 5 years,"Good benefits 
Salary
Bonus  and compensation","Hard work 
Work life balance 
Culture",3.0,,4.0,5.0,
69,"""This is one of the best companies in the world""",I have been working at Samsung Electronics full-time for more than 3 years,"Good salaries
Free snacks and food
Very good environment","Pressure but it's normal
Long hours of work",3.0,5.0,4.0,5.0,5.0
70,"""Excellent pay and benefits""",I have been working at Samsung Electronics full-time for more than 3 years,Excellent pay and benefit ti match,Flavor of the month directives,3.0,3.0,4.0,4.0,2.0
71,"""Don’t come unless you are desperate""",I have been working at Samsung Electronics full-time for more than 8 years,You will be following procedures and work in a specific per defined method. Decent pay and benefits.,Limited growth opportunities. Management lac in vision. Tribal mentality.,3.0,1.0,1.0,3.0,1.0
72,"""Fire drills that lead no where.  Hair on fire tasks that are negated 4 days later with the new flavor of the day.""",I have been working at Samsung Electronics full-time for more than 5 years,Pay. That is about it,"No respect
No worth or recognition given to employees. 
They do not value employees are your ideas. 
If you are not Korean, from Korea, you are not trusted or empowered.",1.0,3.0,1.0,5.0,2.0
73,"""Nice company to work with""",I have been working at Samsung Electronics full-time,"Good location, pays well, good insurrane",Cannot think of anything bad right now,5.0,3.0,4.0,4.0,4.0
74,"""Focused and Goal oriented""",I worked at Samsung Electronics full-time,Good benefits and strong market position,"Engineering driven, communication to improve",,,,,
75,"""Great Company, Industry Leader""",I worked at Samsung Electronics full-time for more than 8 years,"Well known brand, cutting edge technology, aggressive marketing approach",Flexibility necessary to adapt Korean business practices to US markets,3.0,4.0,4.0,5.0,5.0
76,"""Great Company""",I worked at Samsung Electronics full-time,"Good pay, Good Benefit. Top-tier management experience and tool to learn and use.",Lower efficient on run business.,3.0,3.0,4.0,5.0,4.0
77,"""Fast-paced but Fun. Differ from team to team.""",I worked at Samsung Electronics full-time for more than 3 years,The mobile team are dynamic and fun. You get the chance to try new and innovative things all the time. It's also very very fast paced so you will never be bored.,Long hours. Sometimes product launches are very ruched.,2.0,2.0,3.0,3.0,3.0
78,"""managers are useless and throw people under the bus""",I have been working at Samsung Electronics full-time,good culture  .. .. .. .. ..,no stock  .. managers are useless and,,,,,
79,"""QA Engineer""",I have been working at Samsung Electronics full-time for more than a year,The work is easy once you get in the groove of things.,"Micromanagement
Management needs to understand that things happen in life. They lack active listening skills.",1.0,1.0,2.0,3.0,1.0
80,"""Fast and busy but good benefit""",I worked at Samsung Electronics full-time for more than 5 years,very good pay and benefit,too much influence by Korean dispatchers and HR that dictate and lay down authoritatively at workplace.,1.0,1.0,4.0,5.0,3.0
81,"""Fast pace, tough work like balance""",I have been working at Samsung Electronics full-time for more than a year,"competitive wage, good people, good benefits,","Headquarters out of Korea controls too much, no advancement, weak leadership",1.0,3.0,2.0,4.0,2.0
